Sell 6820  BKNWA @ 99.75 #+15145557054  
Sell 4060  BKNWA @ 67.03 #+15145551459  
Buy 2720  BKNWA @ 66.98 #+15145557513   
Buy 12060  BKNWA @ 66.65 #+15145557038  
Sell 10740  BKNWA @ 66.63 #+15145550045 
Sell 6610  BKNWA @ 66.75 #+15145559724  
Sell 11970  BKNWA @ 67.21 #+15145556558 
Buy 5940  BKNWA @ 66.98 #+15145553224   
Sell 6000  BKNWA @ 67.85 #+15145550712  
Buy 2760  BKNWA @ 67.35 #+15145557209   
Sell 13180  BKNWA @ 66.6 #+15145556276  
Sell 5860  BKNWA @ 66.6 #+15145553284   
Sell 10050  BKNWA @ 65.79 #+15145559971 
Sell 2500  BKNWA @ 65.92 #+15145553830  
Sell 10410  BKNWA @ 66.27 #+15145558650 
Sell 7560  BKNWA @ 65.98 #+15145551860  
Sell 8740  BKNWA @ 65.81 #+15145550394  
Sell 7350  BKNWA @ 65.89 #+15145557753  
Sell 2080  BKNWA @ 65.59 #+15145558483  
Sell 5130  BKNWA @ 66.06 #+15145551256  
Sell 5220  BKNWA @ 66.8 #+15145556699   
Sell 2250  BKNWA @ 66.76 #+15145557608  
Buy 3170  BKNWA @ 66.76 #+15145550511   
Sell 4170  BKNWA @ 66.74 #+15145558756  
Buy 8890  BKNWA @ 67.37 #+15145554733   
Buy 8180  BKNWA @ 67.13 #+15145558026   
Sell 6240  BKNWA @ 67.03 #+15145550075  
Buy 11500  BKNWA @ 66.95 #+15145558510  
Buy 5120  BKNWA @ 66.89 #+15145555330   
Buy 4560  BKNWA @ 66.37 #+15145559512   
Buy 8230  BKNWA @ 66.52 #+15145553420   
Buy 7500  BKNWA @ 66.68 #+15145555990   
Buy 8970  BKNWA @ 66.94 #+15145551611   
Sell 9810  BKNWA @ 67.59 #+15145558840  
Buy 9790  BKNWA @ 67.17 #+15145551119   
Sell 7200  BKNWA @ 67.74 #+15145559762  
Sell 3460  BKNWA @ 67.69 #+15145550740  
Sell 6950  BKNWA @ 67.39 #+15145553014  
Sell 3640  BKNWA @ 67.19 #+15145554988  
Buy 5430  BKNWA @ 67.17 #+15145557011   
Buy 11340  BKNWA @ 66.74 #+15145550822  
Sell 6900  BKNWA @ 66.39 #+15145553816  
Sell 7420  BKNWA @ 65.43 #+15145558418  
Buy 4430  BKNWA @ 65.39 #+15145556419   
Sell 8880  BKNWA @ 64.85 #+15145551361  
Sell 5670  BKNWA @ 64.49 #+15145554998  
Buy 5460  BKNWA @ 63.64 #+15145550354   
Buy 5580  BKNWA @ 63.42 #+15145559876   
Buy 15420  BKNWA @ 63 #+15145552367     
Sell 17340  BKNWA @ 63.26 #+15145558200 
Sell 10330  BKNWA @ 63.09 #+15145559289 
Buy 11360  BKNWA @ 63.53 #+15145554776  
Buy 11560  BKNWA @ 62.8 #+15145553387   
Buy 12960  BKNWA @ 62.92 #+15145551796  
Buy 5830  BKNWA @ 63.3 #+15145558638    
Sell 12820  BKNWA @ 63.75 #+15145555846 
Sell 5740  BKNWA @ 62.97 #+15145559366  
Sell 5320  BKNWA @ 62.75 #+15145552356  
Buy 12990  BKNWA @ 62.48 #+15145558503  
Sell 13760  BKNWA @ 63.16 #+15145554715 
Buy 2950  BKNWA @ 63 #+15145551469      
Buy 4720  BKNWA @ 62.96 #+15145555511   
Buy 5690  BKNWA @ 63.64 #+15145558790   
Sell 12240  BKNWA @ 63.83 #+15145556464 
Buy 10070  BKNWA @ 63.4 #+15145551515   
Sell 7160  BKNWA @ 63.25 #+15145551363  
Buy 8970  BKNWA @ 62.94 #+15145553029   
Buy 8100  BKNWA @ 62.85 #+15145553600   
Buy 11950  BKNWA @ 63.17 #+15145559386  
Buy 9320  BKNWA @ 62.92 #+15145551563   
Sell 8100  BKNWA @ 62.58 #+15145553962  
Sell 12530  BKNWA @ 63.24 #+15145552236 
Sell 6270  BKNWA @ 63.53 #+15145557826  
Buy 6350  BKNWA @ 63.55 #+15145559201   
Buy 6870  BKNWA @ 62.94 #+15145555893   
Sell 12280  BKNWA @ 62.9 #+15145556409  
Buy 12710  BKNWA @ 62.9 #+15145555733   
Buy 3740  BKNWA @ 62.26 #+15145555804   
Sell 8050  BKNWA @ 62.52 #+15145550116  
Buy 4710  BKNWA @ 63.03 #+15145551925   
Sell 4520  BKNWA @ 63.11 #+15145556419  
Buy 6770  BKNWA @ 62.96 #+15145559934   
Buy 2730  BKNWA @ 63.32 #+15145554594   
Buy 10890  BKNWA @ 63.11 #+15145557086  
Buy 4190  BKNWA @ 63.56 #+15145553011   
Sell 10590  BKNWA @ 62.82 #+15145550635 
Sell 13340  BKNWA @ 63 #+15145556403    
Buy 7310  BKNWA @ 62.58 #+15145557490   
Sell 10950  BKNWA @ 62.26 #+15145553444 
Sell 15630  BKNWA @ 62.13 #+15145551834 
Sell 13880  BKNWA @ 61.97 #+15145557083 
Sell 12030  BKNWA @ 61.97 #+15145550200 
Buy 18370  BKNWA @ 62.26 #+15145554688  
Sell 14410  BKNWA @ 62.22 #+15145557076 
Buy 19600  BKNWA @ 62.42 #+15145552815  
Buy 12290  BKNWA @ 61.98 #+15145551876  
Sell 4990  BKNWA @ 62.65 #+15145556072  
Buy 12470  BKNWA @ 62.81 #+15145553854  
Buy 14170  BKNWA @ 62.87 #+15145555971  
Sell 3730  BKNWA @ 63.36 #+15145552553  
Buy 7870  BKNWA @ 63.48 #+15145555105   
Sell 5520  BKNWA @ 63.82 #+15145557653  
Buy 5310  BKNWA @ 63.35 #+15145557701   
Buy 11870  BKNWA @ 63.12 #+15145558914  
Sell 13850  BKNWA @ 62.67 #+15145553880 
Buy 14550  BKNWA @ 62.92 #+15145556416  
Buy 11360  BKNWA @ 63.4 #+15145555631   
Buy 8170  BKNWA @ 62.66 #+15145554165   
Buy 13550  BKNWA @ 62.58 #+15145557299  
Sell 5370  BKNWA @ 62.15 #+15145559596  
Sell 5830  BKNWA @ 61.54 #+15145550627  
Sell 4930  BKNWA @ 61.18 #+15145559143  
Buy 6570  BKNWA @ 61.13 #+15145558845   
Buy 5230  BKNWA @ 61.04 #+15145554675   
Buy 9830  BKNWA @ 61.44 #+15145559537   
Sell 11990  BKNWA @ 61.66 #+15145553331 
Buy 12400  BKNWA @ 61.53 #+15145550406  
Sell 11010  BKNWA @ 61.73 #+15145553759 
Sell 14530  BKNWA @ 62.07 #+15145551084 
Sell 15980  BKNWA @ 61.87 #+15145551191 
Buy 16860  BKNWA @ 61.61 #+15145556592  
Buy 10480  BKNWA @ 60.89 #+15145559031  
Sell 2680  BKNWA @ 60.92 #+15145559589  
Sell 10840  BKNWA @ 61.3 #+15145553881  
Buy 3210  BKNWA @ 61.67 #+15145559799   
Sell 5790  BKNWA @ 61.37 #+15145554836  
Sell 14470  BKNWA @ 61.08 #+15145556648 
Sell 14300  BKNWA @ 61.13 #+15145555872 
Sell 7460  BKNWA @ 61.75 #+15145558377  
Sell 3970  BKNWA @ 61.63 #+15145558184  
Buy 9880  BKNWA @ 61.85 #+15145552350   
Buy 11380  BKNWA @ 62.22 #+15145558944  
Buy 6860  BKNWA @ 62.57 #+15145550585   
Sell 10740  BKNWA @ 62.57 #+15145557945 
Buy 9410  BKNWA @ 62.04 #+15145553207   
Sell 16720  BKNWA @ 62.06 #+15145550688 
Buy 15050  BKNWA @ 61.52 #+15145553028  
Buy 8940  BKNWA @ 62.06 #+15145550692   
Sell 8860  BKNWA @ 62.19 #+15145551013  
Buy 5050  BKNWA @ 62.2 #+15145557897    
Sell 12400  BKNWA @ 62.15 #+15145552578 
Buy 6160  BKNWA @ 62.42 #+15145554945   
Sell 11230  BKNWA @ 62.9 #+15145551082  
Sell 5350  BKNWA @ 62.43 #+15145550063  
Sell 12430  BKNWA @ 62.29 #+15145558716 
Sell 5530  BKNWA @ 62.27 #+15145554749  
Buy 10950  BKNWA @ 62.5 #+15145553080   
Buy 9570  BKNWA @ 62.91 #+15145552554   
Buy 6060  BKNWA @ 63.11 #+15145559430   
Sell 8690  BKNWA @ 62.79 #+15145558900  
Buy 6690  BKNWA @ 62.41 #+15145557064   
Buy 9640  BKNWA @ 62.59 #+15145555497   
Buy 6780  BKNWA @ 62.14 #+15145555693   
Buy 8600  BKNWA @ 62.02 #+15145550033   
Buy 12540  BKNWA @ 61.5 #+15145556975   
Sell 10350  BKNWA @ 61.25 #+15145558564 
Sell 8880  BKNWA @ 61.46 #+15145552015  
Sell 6010  BKNWA @ 61.79 #+15145557668  
Buy 13230  BKNWA @ 62.33 #+15145554345  
Buy 6430  BKNWA @ 61.31 #+15145558913   
Buy 2700  BKNWA @ 61.44 #+15145559021   
Buy 6770  BKNWA @ 60.89 #+15145552542   
Buy 6730  BKNWA @ 61.2 #+15145555475    
Sell 9150  BKNWA @ 60.63 #+15145558880  
Sell 7640  BKNWA @ 60.8 #+15145557849   
Buy 5050  BKNWA @ 60.9 #+15145550782    
Buy 10360  BKNWA @ 61.48 #+15145559348  
Buy 16190  BKNWA @ 61.62 #+15145550877  
Sell 14480  BKNWA @ 61.2 #+15145557063  
Sell 10330  BKNWA @ 60.71 #+15145553328 
Sell 13000  BKNWA @ 60.36 #+15145558123 
Buy 17620  BKNWA @ 59.96 #+15145559853  
Sell 17010  BKNWA @ 60.33 #+15145552708 
Sell 16570  BKNWA @ 60.77 #+15145552610 
Buy 14700  BKNWA @ 61.37 #+15145551992  
Sell 9180  BKNWA @ 61.68 #+15145552394  
Buy 12740  BKNWA @ 61.65 #+15145554580  
Buy 11160  BKNWA @ 61.59 #+15145552214  
Sell 9320  BKNWA @ 61.98 #+15145552522  
Buy 12510  BKNWA @ 61.39 #+15145558818  
Sell 3500  BKNWA @ 60.99 #+15145551442  
Sell 8420  BKNWA @ 60.27 #+15145555500  
Buy 7690  BKNWA @ 60.03 #+15145559550   
Buy 4830  BKNWA @ 59.32 #+15145559642   
Sell 9950  BKNWA @ 59.48 #+15145554384  
Sell 9580  BKNWA @ 59.37 #+15145559004  
Buy 7140  BKNWA @ 59.34 #+15145557806   
Buy 10570  BKNWA @ 59.27 #+15145558510  
Buy 5510  BKNWA @ 59.76 #+15145557154   
Buy 5890  BKNWA @ 60.38 #+15145553480   
Buy 10390  BKNWA @ 59.9 #+15145558733   
Sell 6350  BKNWA @ 59.86 #+15145553973  
Buy 8390  BKNWA @ 59.73 #+15145554370   
Sell 10040  BKNWA @ 59.47 #+15145550578 
Buy 6840  BKNWA @ 59.97 #+15145553666   
Sell 6890  BKNWA @ 60.6 #+15145554301   
Sell 7950  BKNWA @ 60.86 #+15145553228  
Sell 12130  BKNWA @ 61.04 #+15145551164 
Sell 11230  BKNWA @ 61.09 #+15145552487 
Sell 12450  BKNWA @ 60.31 #+15145559501 
Buy 19920  BKNWA @ 59.94 #+15145555221  
Sell 9230  BKNWA @ 59.4 #+15145559426   
Sell 11380  BKNWA @ 59.29 #+15145558066 
Buy 18940  BKNWA @ 59.09 #+15145555096  
Sell 7620  BKNWA @ 58.72 #+15145554877  
Buy 15380  BKNWA @ 58.26 #+15145553840  
Buy 12220  BKNWA @ 58.33 #+15145558464  
Sell 15800  BKNWA @ 58.58 #+15145550797 
Sell 15700  BKNWA @ 58.29 #+15145551471 
Buy 8680  BKNWA @ 57.59 #+15145559443   
Buy 9630  BKNWA @ 57.12 #+15145554287   
Buy 5990  BKNWA @ 57.74 #+15145553010   
Buy 7360  BKNWA @ 57.56 #+15145551397   
Buy 13770  BKNWA @ 57.04 #+15145556276  
Sell 9550  BKNWA @ 57.01 #+15145553492  
Buy 5620  BKNWA @ 56.28 #+15145555443   
Buy 10860  BKNWA @ 56.04 #+15145558228  
Buy 6650  BKNWA @ 55.89 #+15145554603   
Buy 12650  BKNWA @ 56.18 #+15145552889  
Sell 17130  BKNWA @ 55.89 #+15145554266 
Buy 10910  BKNWA @ 56.16 #+15145550997  
Buy 15100  BKNWA @ 55.68 #+15145553578  
Sell 9520  BKNWA @ 55.16 #+15145558798  
Sell 7450  BKNWA @ 55.13 #+15145558375  
Sell 14360  BKNWA @ 54.66 #+15145552910 
Buy 9450  BKNWA @ 54.93 #+15145559606   
Buy 9030  BKNWA @ 55.04 #+15145556647   
Buy 7970  BKNWA @ 55.27 #+15145557432   
Buy 6210  BKNWA @ 55.5 #+15145559279    
Sell 10350  BKNWA @ 56.15 #+15145554528 
Buy 9000  BKNWA @ 56.39 #+15145556188   
Buy 12840  BKNWA @ 56.19 #+15145558271  
Buy 13590  BKNWA @ 56.54 #+15145559288  
Buy 9400  BKNWA @ 55.93 #+15145559576   
Buy 3650  BKNWA @ 56.64 #+15145557670   
Buy 7850  BKNWA @ 56.52 #+15145555528   
Buy 7930  BKNWA @ 56.33 #+15145555682   
Sell 11670  BKNWA @ 56.54 #+15145554424 
Sell 9680  BKNWA @ 56.1 #+15145551246   
Buy 13730  BKNWA @ 55.96 #+15145550219  
Buy 8420  BKNWA @ 55.81 #+15145552675   
Sell 10090  BKNWA @ 55.79 #+15145551492 
Buy 13550  BKNWA @ 55.4 #+15145555297   
Sell 8620  BKNWA @ 55.58 #+15145555961  
Sell 12060  BKNWA @ 56.02 #+15145553339 
Sell 7960  BKNWA @ 56.77 #+15145559941  
Buy 12590  BKNWA @ 56.95 #+15145550244  
Sell 12520  BKNWA @ 57.45 #+15145556630 
Sell 7250  BKNWA @ 57.25 #+15145557310  
Sell 5340  BKNWA @ 56.63 #+15145559349  
Sell 16950  BKNWA @ 56.1 #+15145550203  
Buy 9190  BKNWA @ 55.83 #+15145559549   
Buy 7680  BKNWA @ 55.3 #+15145553080    
Buy 11780  BKNWA @ 54.61 #+15145559702  
Sell 13900  BKNWA @ 54.31 #+15145551546 
Buy 10890  BKNWA @ 54.7 #+15145557045   
Buy 27820  BKNWA @ 54.8 #+15145552948   
Buy 16030  BKNWA @ 55.7 #+15145554710   
Sell 20720  BKNWA @ 55.83 #+15145555485 
Buy 21970  BKNWA @ 56.13 #+15145556881  
Sell 16510  BKNWA @ 55.35 #+15145558163 
Buy 11060  BKNWA @ 55.14 #+15145553635  
Sell 16320  BKNWA @ 55.73 #+15145555583 
Buy 11270  BKNWA @ 55.93 #+15145558504  
Buy 17660  BKNWA @ 56.18 #+15145559251  
Buy 13220  BKNWA @ 56.78 #+15145556686  
Buy 14200  BKNWA @ 57.08 #+15145558013  
Buy 16570  BKNWA @ 56.91 #+15145557214  
Sell 16600  BKNWA @ 57.31 #+15145559027 
Buy 16820  BKNWA @ 57.38 #+15145552026  
Buy 20910  BKNWA @ 57.08 #+15145555621  
Buy 25940  BKNWA @ 57.28 #+15145550049  
Buy 17130  BKNWA @ 57.57 #+15145555202  
Sell 11610  BKNWA @ 57.54 #+15145552847 
Sell 6100  BKNWA @ 57.98 #+15145552876  
Buy 8510  BKNWA @ 58.44 #+15145550427   
Buy 13790  BKNWA @ 58.03 #+15145558367  
Sell 8530  BKNWA @ 58.18 #+15145559230  
Sell 12710  BKNWA @ 58.23 #+15145559566 
Sell 9890  BKNWA @ 57.7 #+15145552687   
Sell 9390  BKNWA @ 57.63 #+15145557052  
Buy 11360  BKNWA @ 57.59 #+15145556278  
Sell 7050  BKNWA @ 57.4 #+15145559241   
Buy 7900  BKNWA @ 57.76 #+15145551251   
Buy 9470  BKNWA @ 57.59 #+15145551338   
Buy 9880  BKNWA @ 57.38 #+15145551242   
Sell 10680  BKNWA @ 57.84 #+15145557844 
Buy 10800  BKNWA @ 57.54 #+15145559387  
Sell 10330  BKNWA @ 57.04 #+15145555581 
Sell 6760  BKNWA @ 57.38 #+15145553299  
Sell 8570  BKNWA @ 56.96 #+15145552462  
Buy 10270  BKNWA @ 56.4 #+15145550549   
Sell 14040  BKNWA @ 55.81 #+15145557171 
Buy 14240  BKNWA @ 55.28 #+15145559338  
Buy 8670  BKNWA @ 55.33 #+15145552561   
Sell 9130  BKNWA @ 54.78 #+15145552170  
Buy 10040  BKNWA @ 54.66 #+15145553771  
Sell 7240  BKNWA @ 54.16 #+15145554753  
Buy 13360  BKNWA @ 53.94 #+15145551448  
Sell 5210  BKNWA @ 53.99 #+15145559962  
Buy 11020  BKNWA @ 53.72 #+15145556260  
Buy 11040  BKNWA @ 53.54 #+15145558163  
Buy 14100  BKNWA @ 53.99 #+15145556118  
Buy 5260  BKNWA @ 53.8 #+15145554666    
Sell 10780  BKNWA @ 54.2 #+15145559837  
Sell 11120  BKNWA @ 53.94 #+15145551234 
Buy 10730  BKNWA @ 54.1 #+15145555446   
Sell 14800  BKNWA @ 54.21 #+15145556147 
Sell 9620  BKNWA @ 54.36 #+15145556804  
Buy 12470  BKNWA @ 54.81 #+15145553256  
Sell 16400  BKNWA @ 55.24 #+15145550391 
Sell 19660  BKNWA @ 55.1 #+15145555880  
Buy 19520  BKNWA @ 55.09 #+15145552961  
Sell 10280  BKNWA @ 55.73 #+15145555838 
Sell 13510  BKNWA @ 55.6 #+15145551068  
Buy 10360  BKNWA @ 55.35 #+15145553813  
Buy 22130  BKNWA @ 54.8 #+15145551059   
Sell 9260  BKNWA @ 54.79 #+15145558400  
Buy 9470  BKNWA @ 54.79 #+15145558174   
Buy 22650  BKNWA @ 54.82 #+15145550866  
Buy 17140  BKNWA @ 55.09 #+15145558651  
Buy 15610  BKNWA @ 54.82 #+15145558583  
Buy 13830  BKNWA @ 55 #+15145558930     
Buy 19450  BKNWA @ 55.55 #+15145558346  
Sell 9300  BKNWA @ 55.49 #+15145557835  
Sell 10790  BKNWA @ 56.17 #+15145556539 
Buy 25470  BKNWA @ 55.9 #+15145557895   
Sell 11090  BKNWA @ 56.08 #+15145557401 
Buy 21760  BKNWA @ 56.53 #+15145551427  
Buy 12070  BKNWA @ 56.45 #+15145552255  
Buy 12710  BKNWA @ 56.5 #+15145550138   
Sell 12590  BKNWA @ 56.6 #+15145555909  
Buy 15190  BKNWA @ 56.14 #+15145554600  
Sell 10730  BKNWA @ 56.1 #+15145553542  
Sell 23810  BKNWA @ 55.78 #+15145550153 
Sell 23220  BKNWA @ 55.86 #+15145553256 
Buy 17500  BKNWA @ 55.93 #+15145559513  
Buy 13350  BKNWA @ 56.03 #+15145559688  
Sell 7850  BKNWA @ 55.86 #+15145551545  
Buy 8740  BKNWA @ 55.51 #+15145552737   
Buy 8710  BKNWA @ 55.49 #+15145554693   
Buy 12850  BKNWA @ 55.58 #+15145558775  
Sell 10820  BKNWA @ 56.3 #+15145556657  
Buy 11700  BKNWA @ 56.72 #+15145550793  
Sell 12570  BKNWA @ 56.71 #+15145554169 
Sell 18520  BKNWA @ 56.92 #+15145554859 
Buy 12860  BKNWA @ 57.43 #+15145558654  
Sell 11950  BKNWA @ 57.74 #+15145555698 
Buy 28000  BKNWA @ 57.55 #+15145553477  
Buy 15230  BKNWA @ 57.25 #+15145559212  
Sell 8680  BKNWA @ 56.8 #+15145559732   
Buy 17100  BKNWA @ 56.94 #+15145559155  
Sell 15530  BKNWA @ 56.67 #+15145557843 
Sell 9400  BKNWA @ 56.42 #+15145559156  
Sell 8580  BKNWA @ 56.78 #+15145553660  
Buy 10990  BKNWA @ 56.29 #+15145550646  
Buy 5350  BKNWA @ 56.25 #+15145554295   
Sell 10670  BKNWA @ 56.51 #+15145555382 
Sell 10870  BKNWA @ 56.77 #+15145558162 
Buy 5990  BKNWA @ 56.55 #+15145559625   
Buy 8470  BKNWA @ 56.78 #+15145558664   
Sell 6800  BKNWA @ 56.53 #+15145554605  
Sell 7930  BKNWA @ 56.7 #+15145552913   
Buy 16990  BKNWA @ 55.92 #+15145550282  
Sell 20670  BKNWA @ 56.07 #+15145551469 
Sell 23210  BKNWA @ 55.98 #+15145553713 
Sell 10080  BKNWA @ 55.32 #+15145551885 
Buy 9420  BKNWA @ 56.01 #+15145558491   
Buy 14590  BKNWA @ 56.49 #+15145558917  
Buy 6230  BKNWA @ 56.97 #+15145553624   
Sell 12410  BKNWA @ 56.25 #+15145551847 
Buy 9410  BKNWA @ 56.65 #+15145555262   
Sell 6130  BKNWA @ 56.23 #+15145555386  
Sell 16150  BKNWA @ 56.19 #+15145555618 
Buy 16440  BKNWA @ 56.41 #+15145557648  
Buy 18940  BKNWA @ 56.59 #+15145559236  
Buy 7630  BKNWA @ 56.73 #+15145551075   
Buy 11910  BKNWA @ 56.16 #+15145555562  
Sell 9340  BKNWA @ 55.57 #+15145556691  
Sell 16220  BKNWA @ 55.84 #+15145551679 
Buy 14180  BKNWA @ 56.14 #+15145556433  
Sell 11620  BKNWA @ 55.05 #+15145556310 
Sell 16870  BKNWA @ 54.62 #+15145556017 
Buy 11410  BKNWA @ 54.51 #+15145555628  
Buy 11570  BKNWA @ 54.09 #+15145552001  
Sell 13390  BKNWA @ 54.14 #+15145556048 
Sell 9340  BKNWA @ 53.99 #+15145550045  
Buy 11020  BKNWA @ 53.81 #+15145550184  
Buy 14590  BKNWA @ 54.05 #+15145554818  
Buy 7190  BKNWA @ 53.9 #+15145550840    
Buy 13990  BKNWA @ 54.45 #+15145557644  
Sell 9570  BKNWA @ 54.65 #+15145557921  
Sell 5530  BKNWA @ 54.58 #+15145551578  
Sell 11200  BKNWA @ 54.73 #+15145551372 
Buy 12270  BKNWA @ 54.36 #+15145552429  
Sell 20810  BKNWA @ 53.73 #+15145550720 
Sell 14780  BKNWA @ 53.85 #+15145559386 
Buy 18710  BKNWA @ 54.03 #+15145558886  
Sell 14410  BKNWA @ 54.42 #+15145553641 
Sell 11480  BKNWA @ 53.83 #+15145550513 
Sell 12650  BKNWA @ 54.25 #+15145554008 
Sell 6580  BKNWA @ 53.91 #+15145553258  
Buy 13320  BKNWA @ 54.29 #+15145552587  
Sell 15460  BKNWA @ 54.35 #+15145554864 
Buy 14460  BKNWA @ 55.04 #+15145556309  
Sell 7460  BKNWA @ 54.77 #+15145559368  
Buy 5740  BKNWA @ 55.2 #+15145557691    
Buy 6720  BKNWA @ 55.36 #+15145559797   
Buy 14800  BKNWA @ 54.79 #+15145556388  
Buy 5600  BKNWA @ 54.85 #+15145555180   
Buy 7630  BKNWA @ 54.5 #+15145554038    
Sell 3720  BKNWA @ 54.65 #+15145551115  
Sell 7390  BKNWA @ 54.72 #+15145551602  
Sell 7050  BKNWA @ 54.15 #+15145553647  
Buy 13530  BKNWA @ 53.91 #+15145551523  
Buy 12330  BKNWA @ 53.76 #+15145556149  
Sell 12430  BKNWA @ 53.89 #+15145554967 
Buy 9770  BKNWA @ 54.25 #+15145558939   
Sell 5490  BKNWA @ 53.75 #+15145553900  
Buy 7810  BKNWA @ 53.73 #+15145559400   
Sell 4410  BKNWA @ 53.29 #+15145555027  
Sell 5490  BKNWA @ 52.9 #+15145555355   
Buy 6780  BKNWA @ 53.69 #+15145558350   
Sell 6070  BKNWA @ 54.02 #+15145553374  
Buy 7600  BKNWA @ 54.02 #+15145550677   
Buy 12500  BKNWA @ 54.45 #+15145559654  
Buy 8980  BKNWA @ 54.6 #+15145553853    
Buy 8840  BKNWA @ 54.04 #+15145553194   
Buy 9270  BKNWA @ 53.81 #+15145555455   
Buy 10520  BKNWA @ 53.47 #+15145555602  
Sell 6650  BKNWA @ 52.86 #+15145551992  
Sell 11780  BKNWA @ 52.95 #+15145556543 
Buy 15680  BKNWA @ 53.32 #+15145554562  
Buy 10760  BKNWA @ 53.41 #+15145556408  
Sell 7700  BKNWA @ 52.72 #+15145557297  
Sell 11860  BKNWA @ 52.05 #+15145557213 
Buy 11900  BKNWA @ 51.71 #+15145554893  
Buy 12510  BKNWA @ 51.96 #+15145557372  
Sell 16640  BKNWA @ 52.22 #+15145557669 
Buy 5270  BKNWA @ 52.48 #+15145550697   
Buy 10400  BKNWA @ 52.06 #+15145554393  
Buy 8060  BKNWA @ 52.03 #+15145558872   
Sell 15530  BKNWA @ 52.14 #+15145552154 
Sell 14250  BKNWA @ 51.51 #+15145553616 
Sell 15760  BKNWA @ 51.58 #+15145554630 
Sell 14050  BKNWA @ 51.5 #+15145557916  
Sell 10680  BKNWA @ 52 #+15145554769    
Sell 8890  BKNWA @ 51.88 #+15145551978  
Buy 10450  BKNWA @ 51.35 #+15145558112  
Buy 13870  BKNWA @ 51.1 #+15145556042   
Buy 22350  BKNWA @ 51.66 #+15145559350  
Buy 14670  BKNWA @ 51.57 #+15145555970  
Buy 14770  BKNWA @ 51.81 #+15145559719  
Buy 24090  BKNWA @ 51.61 #+15145555595  
Buy 17860  BKNWA @ 51.71 #+15145554623  
Buy 13390  BKNWA @ 52.02 #+15145553732  
Buy 6490  BKNWA @ 52.09 #+15145550447   
Buy 13420  BKNWA @ 51.65 #+15145550732  
Buy 7040  BKNWA @ 51.73 #+15145559785   
Sell 12380  BKNWA @ 51.69 #+15145559905 
Sell 14000  BKNWA @ 51.78 #+15145555955 
Sell 16780  BKNWA @ 51.94 #+15145556640 
Sell 17100  BKNWA @ 51.83 #+15145559596 
Sell 11780  BKNWA @ 52.37 #+15145554710 
Sell 7760  BKNWA @ 52.18 #+15145557477  
Buy 15970  BKNWA @ 52.12 #+15145558695  
Buy 9470  BKNWA @ 52.4 #+15145551857    
Buy 12280  BKNWA @ 52.38 #+15145553558  
Sell 13840  BKNWA @ 52.63 #+15145556155 
Sell 10020  BKNWA @ 52.48 #+15145552361 
Buy 11010  BKNWA @ 51.93 #+15145553293  
Buy 5550  BKNWA @ 52.02 #+15145552531   
Sell 13420  BKNWA @ 51.68 #+15145554132 
Buy 6840  BKNWA @ 51.81 #+15145556069   
Buy 9140  BKNWA @ 51.67 #+15145558897   
Buy 9240  BKNWA @ 51.73 #+15145551615   
Sell 5270  BKNWA @ 51.57 #+15145554210  
Buy 4740  BKNWA @ 51.49 #+15145550351   
Buy 15300  BKNWA @ 51.71 #+15145551416  
Sell 14660  BKNWA @ 52.16 #+15145558810 
Buy 15510  BKNWA @ 52.65 #+15145551455  
Buy 12080  BKNWA @ 52.89 #+15145557254  
Buy 11990  BKNWA @ 53.21 #+15145558160  
Buy 14150  BKNWA @ 53.49 #+15145556984  
Buy 17370  BKNWA @ 53.4 #+15145553336   
Buy 10960  BKNWA @ 53.27 #+15145550333  
Sell 16890  BKNWA @ 53.43 #+15145555568 
Sell 11530  BKNWA @ 53.43 #+15145559917 
Sell 6630  BKNWA @ 53.74 #+15145552079  
Sell 11050  BKNWA @ 53.69 #+15145554044 
Buy 14220  BKNWA @ 53.49 #+15145551725  
Buy 13830  BKNWA @ 53.66 #+15145550460  
Buy 11390  BKNWA @ 54.07 #+15145555876  
Buy 15490  BKNWA @ 54.17 #+15145550859  
Buy 10970  BKNWA @ 54.66 #+15145554248  
Sell 8740  BKNWA @ 54.81 #+15145550920  
Buy 9820  BKNWA @ 54.11 #+15145557230   
Buy 10410  BKNWA @ 53.64 #+15145559723  
Sell 13300  BKNWA @ 53.64 #+15145555154 
Buy 10270  BKNWA @ 53.62 #+15145555134  
Sell 7610  BKNWA @ 53.57 #+15145555517  
Buy 13790  BKNWA @ 53.58 #+15145557216  
Buy 22310  BKNWA @ 53.42 #+15145551450  
Sell 9540  BKNWA @ 53.92 #+15145552700  
Sell 17500  BKNWA @ 53.22 #+15145553712 
Sell 13320  BKNWA @ 53.55 #+15145550213 
Buy 18960  BKNWA @ 54.33 #+15145557362  
Buy 10100  BKNWA @ 54.12 #+15145558151  
Buy 17230  BKNWA @ 54.14 #+15145554895  
Buy 12340  BKNWA @ 53.46 #+15145557819  
Buy 18850  BKNWA @ 54.07 #+15145553537  
Buy 27340  BKNWA @ 54.37 #+15145553538  
Buy 27210  BKNWA @ 54.12 #+15145554002  
Buy 21280  BKNWA @ 54.37 #+15145554143  
Buy 22390  BKNWA @ 54.21 #+15145554492  
Sell 25440  BKNWA @ 53.67 #+15145552918 
Sell 20430  BKNWA @ 53.15 #+15145557990 
Buy 10030  BKNWA @ 53.24 #+15145558537  
