Sell 16800  AGOG @ 99.79 #+15145555329
Buy 15850  AGOG @ 61.45 #+15145553503
Buy 16040  AGOG @ 61.3 #+15145550150
Buy 13980  AGOG @ 60.95 #+15145558914
Sell 10330  AGOG @ 61.77 #+15145554403
Buy 19120  AGOG @ 61.47 #+15145559987
Sell 27960  AGOG @ 59.02 #+15145555229
Buy 19130  AGOG @ 61.04 #+15145554280
Buy 18950  AGOG @ 61.51 #+15145552599
Sell 35480  AGOG @ 62.11 #+15145552967
Buy 23530  AGOG @ 61.99 #+15145555790
Buy 32940  AGOG @ 58.43 #+15145555356
Buy 22220  AGOG @ 62.1 #+15145550106
Sell 20890  AGOG @ 63.93 #+15145553516
Buy 13830  AGOG @ 59.75 #+15145558220
Buy 26570  AGOG @ 63.3 #+15145559092
Sell 23530  AGOG @ 65.71 #+15145556503
Buy 28010  AGOG @ 62.19 #+15145556951
Sell 41240  AGOG @ 63.71 #+15145553056
Sell 245610  AGOG @ 59.38 #+15145552776
Buy 20110  AGOG @ 63.07 #+15145550066
Sell 16910  AGOG @ 59.77 #+15145552352
Sell 18310  AGOG @ 59.44 #+15145550103
Sell 17590  AGOG @ 59.65 #+15145554097
Buy 21090  AGOG @ 60.03 #+15145557671
Buy 32330  AGOG @ 60.73 #+15145555943
Sell 35560  AGOG @ 60.28 #+15145553177
Sell 25960  AGOG @ 59.87 #+15145553452
Sell 27260  AGOG @ 59.78 #+15145559129
Buy 39120  AGOG @ 59.61 #+15145555331
Buy 45660  AGOG @ 58.22 #+15145552454
Buy 127870  AGOG @ 59.06 #+15145556635
Buy 43220  AGOG @ 60.29 #+15145550296
Sell 14350  AGOG @ 61.92 #+15145550432
Sell 12000  AGOG @ 61.97 #+15145554876
Sell 13900  AGOG @ 63.01 #+15145559221
Sell 16140  AGOG @ 63.31 #+15145556934
Buy 12790  AGOG @ 61.69 #+15145559186
Sell 12400  AGOG @ 61.79 #+15145559458
Sell 13870  AGOG @ 63.6 #+15145554059
Buy 7830  AGOG @ 62.31 #+15145551772
Sell 12320  AGOG @ 62.93 #+15145554854
Buy 8660  AGOG @ 62.68 #+15145556361
Buy 9420  AGOG @ 62.51 #+15145553736
Buy 13810  AGOG @ 63.05 #+15145551655
Buy 13160  AGOG @ 62.47 #+15145551716
Sell 9400  AGOG @ 64.96 #+15145557270
Sell 12900  AGOG @ 61.77 #+15145552127
Buy 12720  AGOG @ 62.76 #+15145559409
Sell 12980  AGOG @ 63.95 #+15145558410
Buy 26660  AGOG @ 62.45 #+15145554164
Buy 12200  AGOG @ 58 #+15145551067
Sell 9980  AGOG @ 61 #+15145557989
Buy 19790  AGOG @ 61.06 #+15145552837
Sell 15440  AGOG @ 60.93 #+15145554241
Sell 23600  AGOG @ 60.34 #+15145550049
Buy 18260  AGOG @ 61.3 #+15145552147
Buy 35990  AGOG @ 61.04 #+15145554290
Sell 72740  AGOG @ 60.87 #+15145556566
Buy 13710  AGOG @ 59.87 #+15145551337
Sell 16010  AGOG @ 60.76 #+15145552192
Sell 33470  AGOG @ 61.14 #+15145552052
Sell 21460  AGOG @ 62.78 #+15145550732
Sell 18130  AGOG @ 60.83 #+15145552469
Buy 24010  AGOG @ 61.08 #+15145555619
Buy 30480  AGOG @ 60.74 #+15145555177
Sell 31500  AGOG @ 60.38 #+15145552323
Buy 28290  AGOG @ 61.49 #+15145556308
Buy 21530  AGOG @ 61.86 #+15145552809
Sell 15480  AGOG @ 62.62 #+15145555290
Buy 27990  AGOG @ 61.97 #+15145557885
Buy 20020  AGOG @ 65.56 #+15145552521
Sell 36770  AGOG @ 63.25 #+15145556764
Sell 28160  AGOG @ 62.26 #+15145556810
Buy 30820  AGOG @ 61.48 #+15145559222
Buy 12800  AGOG @ 61.92 #+15145559005
Sell 18310  AGOG @ 59.64 #+15145557614
Sell 18170  AGOG @ 61.22 #+15145550388
Sell 15560  AGOG @ 60 #+15145551699
Buy 29160  AGOG @ 60.55 #+15145554949
Buy 24500  AGOG @ 59.97 #+15145550253
Buy 11160  AGOG @ 60.73 #+15145551195
Buy 16480  AGOG @ 59.08 #+15145551585
Buy 17900  AGOG @ 58.84 #+15145553713
Sell 14100  AGOG @ 58.34 #+15145551813
Sell 13570  AGOG @ 62.65 #+15145554557
Sell 16850  AGOG @ 58 #+15145559002
Sell 21330  AGOG @ 57.81 #+15145556365
Buy 28350  AGOG @ 58.79 #+15145555565
Buy 81010  AGOG @ 57.95 #+15145551294
Sell 43720  AGOG @ 58.91 #+15145559533
Sell 23190  AGOG @ 55.8 #+15145555463
Buy 24750  AGOG @ 54.93 #+15145551226
Sell 23860  AGOG @ 57.37 #+15145552048
Sell 17790  AGOG @ 59.63 #+15145557741
Buy 24440  AGOG @ 58.75 #+15145559767
Buy 20970  AGOG @ 58.61 #+15145559925
Buy 28450  AGOG @ 58.77 #+15145550985
Sell 40240  AGOG @ 60.91 #+15145554547
Buy 25620  AGOG @ 59.01 #+15145556078
Buy 25710  AGOG @ 57.77 #+15145556653
Sell 64260  AGOG @ 57.44 #+15145555840
Buy 32510  AGOG @ 58.26 #+15145555914
Sell 26350  AGOG @ 55.96 #+15145559528
Buy 16290  AGOG @ 55.04 #+15145559275
Buy 11900  AGOG @ 56.51 #+15145557169
Buy 12420  AGOG @ 55.13 #+15145553959
Sell 8400  AGOG @ 55.63 #+15145556061
Buy 14660  AGOG @ 51.64 #+15145553762
Buy 27050  AGOG @ 54.84 #+15145559239
Buy 24900  AGOG @ 54.68 #+15145550467
Buy 18970  AGOG @ 56.09 #+15145556007
Buy 19430  AGOG @ 55.11 #+15145554396
Sell 27220  AGOG @ 54.94 #+15145553169
Buy 14400  AGOG @ 56.37 #+15145554555
Sell 20420  AGOG @ 57.94 #+15145557155
Buy 31970  AGOG @ 55.68 #+15145558964
Sell 12910  AGOG @ 54.86 #+15145555660
Buy 19260  AGOG @ 55.51 #+15145552299
Sell 22400  AGOG @ 55.21 #+15145557278
Buy 35200  AGOG @ 56 #+15145557544
Buy 27110  AGOG @ 52.45 #+15145556674
Sell 28010  AGOG @ 56.56 #+15145559462
Buy 20050  AGOG @ 55.64 #+15145553817
Buy 14910  AGOG @ 56.36 #+15145550960
Sell 19370  AGOG @ 55.78 #+15145554764
Buy 14940  AGOG @ 59.8 #+15145554250
Sell 19920  AGOG @ 56.22 #+15145550048
Sell 9380  AGOG @ 55.8 #+15145553961
Sell 32050  AGOG @ 56.72 #+15145553810
Sell 21130  AGOG @ 57.17 #+15145550654
Buy 20270  AGOG @ 56.24 #+15145550258
Buy 17950  AGOG @ 54.72 #+15145554956
Sell 38500  AGOG @ 53.79 #+15145558810
Sell 22110  AGOG @ 57.66 #+15145552792
Sell 20140  AGOG @ 58.66 #+15145554870
Sell 16870  AGOG @ 55.74 #+15145552257
Buy 21360  AGOG @ 55.52 #+15145553375
Sell 27420  AGOG @ 56.02 #+15145551245
Sell 23380  AGOG @ 55.86 #+15145559441
Sell 28440  AGOG @ 55.77 #+15145557478
Sell 22560  AGOG @ 54.84 #+15145551617
Sell 15310  AGOG @ 54.79 #+15145555981
Sell 34820  AGOG @ 54.75 #+15145553148
Buy 26300  AGOG @ 54.82 #+15145551021
Sell 33490  AGOG @ 54.14 #+15145558391
Buy 35290  AGOG @ 54.63 #+15145554516
Sell 29640  AGOG @ 54.1 #+15145556738
Buy 38430  AGOG @ 53.51 #+15145552880
Sell 40110  AGOG @ 53.33 #+15145554742
Sell 31700  AGOG @ 51.94 #+15145558841
Buy 26300  AGOG @ 54.82 #+15145551255
Sell 49790  AGOG @ 51.41 #+15145557786
Sell 42280  AGOG @ 53.6 #+15145554814
Buy 111660  AGOG @ 51.1 #+15145559883
Buy 67410  AGOG @ 50.81 #+15145556004
Buy 36490  AGOG @ 52.17 #+15145554539
Sell 51330  AGOG @ 52.06 #+15145550183
Sell 25820  AGOG @ 51.11 #+15145555400
Buy 39350  AGOG @ 51.91 #+15145557123
Buy 30370  AGOG @ 50.86 #+15145552406
Sell 15720  AGOG @ 52.25 #+15145553333
Buy 20840  AGOG @ 52.81 #+15145552080
Sell 17630  AGOG @ 53.19 #+15145556000
Buy 21710  AGOG @ 53.07 #+15145557393
Buy 21140  AGOG @ 52.96 #+15145555160
Sell 19640  AGOG @ 52.42 #+15145554822
Sell 18980  AGOG @ 52.51 #+15145557287
Sell 35330  AGOG @ 52.88 #+15145559456
Sell 29830  AGOG @ 51.82 #+15145553079
Sell 34950  AGOG @ 52.97 #+15145555488
Sell 19990  AGOG @ 52.57 #+15145551159
Buy 20660  AGOG @ 52.76 #+15145550767
Buy 28580  AGOG @ 52.86 #+15145551656
Buy 55630  AGOG @ 52.01 #+15145553561
Buy 127710  AGOG @ 53.57 #+15145552926
Buy 15680  AGOG @ 53.41 #+15145556376
Sell 19550  AGOG @ 56.49 #+15145551689
Buy 9560  AGOG @ 56.66 #+15145553126
Buy 15240  AGOG @ 56.88 #+15145552496
Buy 10000  AGOG @ 56.44 #+15145557023
Buy 12930  AGOG @ 56.75 #+15145551368
Buy 9780  AGOG @ 55.81 #+15145550753
Buy 18430  AGOG @ 55.45 #+15145553543
Sell 12800  AGOG @ 54.93 #+15145551428
Buy 11420  AGOG @ 55.62 #+15145558366
Sell 11570  AGOG @ 55.74 #+15145551776
Sell 8870  AGOG @ 55.73 #+15145555919
Buy 13110  AGOG @ 55.08 #+15145556821
Buy 9880  AGOG @ 55.98 #+15145550430
Buy 10400  AGOG @ 55.95 #+15145552066
Sell 6200  AGOG @ 55.92 #+15145551719
Sell 8980  AGOG @ 58.35 #+15145555433
Sell 8830  AGOG @ 55.92 #+15145558624
Buy 10890  AGOG @ 56.33 #+15145558985
Buy 11570  AGOG @ 56.11 #+15145552616
Sell 19610  AGOG @ 51.82 #+15145552264
Sell 17250  AGOG @ 59.02 #+15145551447
Sell 12580  AGOG @ 52.13 #+15145553454
Buy 15290  AGOG @ 55.31 #+15145553234
Sell 10640  AGOG @ 55.48 #+15145558217
Buy 9250  AGOG @ 52.23 #+15145552458
Buy 12590  AGOG @ 54.57 #+15145557673
Buy 14730  AGOG @ 53.89 #+15145558339
Buy 19330  AGOG @ 55.1 #+15145552343
Sell 12840  AGOG @ 53.26 #+15145553724
Sell 11600  AGOG @ 53.95 #+15145558288
Buy 15460  AGOG @ 53.63 #+15145550293
Buy 18110  AGOG @ 53.13 #+15145555642
Buy 18610  AGOG @ 52.24 #+15145551604
Buy 16490  AGOG @ 53.45 #+15145558117
Buy 21580  AGOG @ 54.08 #+15145553878
Sell 25150  AGOG @ 54.06 #+15145555436
Buy 20070  AGOG @ 52.9 #+15145558766
Buy 21380  AGOG @ 49.28 #+15145557126
Buy 42630  AGOG @ 51.1 #+15145550781
Sell 36180  AGOG @ 53.05 #+15145551659
Sell 54650  AGOG @ 51.34 #+15145550638
Sell 204330  AGOG @ 51.52 #+15145552219
Sell 39760  AGOG @ 51.26 #+15145555576
Buy 16360  AGOG @ 58.37 #+15145550026
Sell 12480  AGOG @ 57.77 #+15145554528
Sell 19460  AGOG @ 57.85 #+15145552714
Buy 18700  AGOG @ 61.69 #+15145550326
Buy 11280  AGOG @ 59.51 #+15145551913
Sell 15310  AGOG @ 59.24 #+15145558915
Sell 12370  AGOG @ 59.33 #+15145555132
Buy 13800  AGOG @ 56.75 #+15145556346
Sell 13450  AGOG @ 58.21 #+15145552940
Buy 8060  AGOG @ 58.89 #+15145558497
Sell 22560  AGOG @ 58.37 #+15145553872
Buy 15740  AGOG @ 58.7 #+15145555813
Buy 14030  AGOG @ 58.67 #+15145555931
Sell 16580  AGOG @ 57.86 #+15145551215
Buy 11450  AGOG @ 56.88 #+15145558815
Buy 17370  AGOG @ 59.06 #+15145552700
Buy 11500  AGOG @ 59.76 #+15145550056
Buy 18250  AGOG @ 57.67 #+15145555848
Buy 12610  AGOG @ 56.8 #+15145556927
Buy 12230  AGOG @ 57.33 #+15145558009
Sell 12950  AGOG @ 55.66 #+15145552953
Buy 22370  AGOG @ 55.99 #+15145555097
Buy 19250  AGOG @ 60.8 #+15145559281
Buy 16430  AGOG @ 56.54 #+15145551422
Buy 14340  AGOG @ 55.24 #+15145555868
Buy 10040  AGOG @ 55.35 #+15145550426
Sell 20530  AGOG @ 55.78 #+15145558748
Buy 17470  AGOG @ 55.95 #+15145558314
Buy 15610  AGOG @ 56.05 #+15145557537
Buy 17180  AGOG @ 56.35 #+15145556042
Sell 16470  AGOG @ 57.18 #+15145552612
Buy 16650  AGOG @ 57.63 #+15145552164
Sell 21300  AGOG @ 57.45 #+15145553159
Buy 16240  AGOG @ 56.95 #+15145555689
Buy 13840  AGOG @ 58.91 #+15145556828
Sell 34730  AGOG @ 57.5 #+15145551610
Buy 27280  AGOG @ 58.21 #+15145559058
Sell 28580  AGOG @ 57.04 #+15145558026
Sell 35080  AGOG @ 55.09 #+15145558980
Buy 33120  AGOG @ 55.4 #+15145553586
Buy 38250  AGOG @ 54.71 #+15145554837
Sell 39840  AGOG @ 53.67 #+15145558048
Buy 15330  AGOG @ 55.15 #+15145558625
Buy 13350  AGOG @ 52.08 #+15145558076
Buy 16740  AGOG @ 54.83 #+15145557150
Buy 24270  AGOG @ 58.16 #+15145553570
Sell 13790  AGOG @ 57.49 #+15145550989
Sell 13390  AGOG @ 55.48 #+15145556595
Sell 18180  AGOG @ 56.73 #+15145550366
Sell 14680  AGOG @ 57.83 #+15145558820
Sell 10400  AGOG @ 56.9 #+15145559331
Buy 23290  AGOG @ 55.85 #+15145550725
Sell 16270  AGOG @ 61.02 #+15145554079
Buy 19750  AGOG @ 55.14 #+15145558742
Sell 13280  AGOG @ 56.97 #+15145558436
Sell 19630  AGOG @ 58.51 #+15145556173
Sell 24420  AGOG @ 57.97 #+15145557264
Sell 22360  AGOG @ 57.75 #+15145556152
Buy 15440  AGOG @ 58.29 #+15145551553
Buy 25210  AGOG @ 57.75 #+15145552294
Sell 23400  AGOG @ 57.76 #+15145554806
Buy 77250  AGOG @ 58.68 #+15145555251
Buy 38600  AGOG @ 57.56 #+15145550575
Sell 18230  AGOG @ 56.32 #+15145556928
Sell 15600  AGOG @ 55.54 #+15145558263
Buy 14920  AGOG @ 55.17 #+15145557323
Sell 22100  AGOG @ 58.24 #+15145555828
Sell 9610  AGOG @ 55.89 #+15145554131
Buy 12980  AGOG @ 57.03 #+15145550026
Sell 21570  AGOG @ 56.69 #+15145556024
Buy 11980  AGOG @ 61.43 #+15145550234
Buy 16230  AGOG @ 56.52 #+15145558754
Sell 14880  AGOG @ 56.48 #+15145551518
Buy 12670  AGOG @ 56.25 #+15145559484
Sell 14310  AGOG @ 56.51 #+15145556617
Buy 25500  AGOG @ 56.74 #+15145553469
Sell 25980  AGOG @ 56.86 #+15145557968
Buy 14850  AGOG @ 56.65 #+15145554649
Sell 17810  AGOG @ 55.68 #+15145556322
Buy 33830  AGOG @ 55.99 #+15145559583
Buy 23140  AGOG @ 56.14 #+15145552397
Buy 18870  AGOG @ 54.92 #+15145551414
Sell 21450  AGOG @ 54.93 #+15145551504
Sell 23620  AGOG @ 54.97 #+15145550051
Sell 17100  AGOG @ 54.17 #+15145559917
Buy 20750  AGOG @ 54.21 #+15145550972
Sell 19290  AGOG @ 54.19 #+15145557647
Buy 18430  AGOG @ 54.18 #+15145554932
Buy 28990  AGOG @ 54.19 #+15145558835
Buy 18270  AGOG @ 53.7 #+15145558244
Buy 20910  AGOG @ 54.26 #+15145556192
Sell 23360  AGOG @ 54.9 #+15145557587
Sell 17210  AGOG @ 54.94 #+15145555037
Sell 23190  AGOG @ 54.02 #+15145554382
Sell 23480  AGOG @ 50.65 #+15145554836
Buy 18460  AGOG @ 55.56 #+15145554559
Buy 39920  AGOG @ 54.67 #+15145555474
Buy 11820  AGOG @ 55.72 #+15145550820
Buy 10130  AGOG @ 55.59 #+15145553929
Buy 14940  AGOG @ 55.02 #+15145553676
Buy 18430  AGOG @ 56.45 #+15145558516
Sell 14320  AGOG @ 55.55 #+15145553799
Buy 12620  AGOG @ 54.61 #+15145554412
Sell 19500  AGOG @ 56.31 #+15145555724
Buy 19540  AGOG @ 56.36 #+15145550555
Sell 26190  AGOG @ 54.45 #+15145552820
Buy 26130  AGOG @ 56.29 #+15145558346
Sell 19620  AGOG @ 55.62 #+15145556143
Sell 25330  AGOG @ 56.03 #+15145550272
Buy 28110  AGOG @ 55.55 #+15145555638
Buy 37230  AGOG @ 56.39 #+15145557948
Buy 23520  AGOG @ 54.52 #+15145556418
Buy 32630  AGOG @ 55.81 #+15145556050
Sell 18320  AGOG @ 57.41 #+15145557601
Sell 43600  AGOG @ 57.62 #+15145553573
Sell 36530  AGOG @ 58.38 #+15145559971
Sell 29030  AGOG @ 57.69 #+15145554665
Buy 24310  AGOG @ 58.38 #+15145550451
Buy 28470  AGOG @ 58.4 #+15145559398
Sell 23770  AGOG @ 58.5 #+15145555154
Buy 31660  AGOG @ 58.78 #+15145557166
Sell 30880  AGOG @ 57.81 #+15145558965
Sell 57640  AGOG @ 57.25 #+15145551159
Buy 60910  AGOG @ 57.21 #+15145555088
Sell 118550  AGOG @ 57.42 #+15145556991
Sell 41790  AGOG @ 58.25 #+15145558052
Sell 30960  AGOG @ 64.62 #+15145557062
Buy 18920  AGOG @ 64.77 #+15145559903
Buy 26190  AGOG @ 64.07 #+15145552143
Buy 16280  AGOG @ 64.82 #+15145554823
Sell 16260  AGOG @ 65.96 #+15145555223
Buy 29410  AGOG @ 66.39 #+15145550906
Sell 12820  AGOG @ 66.1 #+15145550751
Buy 20540  AGOG @ 64.48 #+15145550524
Sell 24220  AGOG @ 63.03 #+15145554347
Sell 12230  AGOG @ 63.81 #+15145552439
Sell 10110  AGOG @ 61.96 #+15145552221
Sell 11560  AGOG @ 62.39 #+15145554902
Buy 11670  AGOG @ 62.93 #+15145553546
Buy 5070  AGOG @ 62.63 #+15145551423
Buy 9540  AGOG @ 62.26 #+15145555827
Buy 11620  AGOG @ 63.61 #+15145550042
Sell 15260  AGOG @ 63.25 #+15145553041
Buy 18560  AGOG @ 63.39 #+15145550949
Buy 21800  AGOG @ 66.3 #+15145556008
Sell 20900  AGOG @ 64.98 #+15145552125
Buy 23030  AGOG @ 61.73 #+15145554690
Buy 17260  AGOG @ 66.22 #+15145550229
Sell 9770  AGOG @ 63.83 #+15145553621
Buy 11110  AGOG @ 62.51 #+15145552177
Sell 12850  AGOG @ 64.42 #+15145552665
Sell 15640  AGOG @ 64.23 #+15145551115
Sell 16350  AGOG @ 62.45 #+15145559994
Sell 15380  AGOG @ 65.68 #+15145557707
Sell 14410  AGOG @ 62.93 #+15145557404
Sell 20060  AGOG @ 63.47 #+15145553670
Sell 31600  AGOG @ 64.49 #+15145558616
Buy 28690  AGOG @ 67.17 #+15145558966
Sell 23190  AGOG @ 60.67 #+15145556044
Buy 8250  AGOG @ 64.47 #+15145555092
Sell 21470  AGOG @ 64.44 #+15145554644
Sell 26380  AGOG @ 63.05 #+15145557128
Buy 27910  AGOG @ 61.09 #+15145554658
Buy 30740  AGOG @ 63.74 #+15145555228
Buy 44790  AGOG @ 63.99 #+15145558079
Buy 39460  AGOG @ 64.45 #+15145552109
Buy 11980  AGOG @ 62.24 #+15145552614
Sell 10110  AGOG @ 59.82 #+15145558870
Buy 12230  AGOG @ 60.36 #+15145553310
Buy 13720  AGOG @ 57.75 #+15145552478
Buy 12210  AGOG @ 60.21 #+15145559168
Buy 14430  AGOG @ 60.14 #+15145556050
Buy 11650  AGOG @ 59.91 #+15145559884
Buy 11650  AGOG @ 59.95 #+15145555164
Buy 16880  AGOG @ 59.77 #+15145554985
Sell 17880  AGOG @ 59.85 #+15145551278
Sell 41930  AGOG @ 59.94 #+15145558755
Sell 24860  AGOG @ 59.87 #+15145551245
Sell 14120  AGOG @ 58.9 #+15145559218
Buy 11600  AGOG @ 56.59 #+15145559741
Sell 17120  AGOG @ 56.09 #+15145551811
Sell 14440  AGOG @ 57.4 #+15145554948
Buy 19590  AGOG @ 57.18 #+15145555213
Buy 28420  AGOG @ 57.43 #+15145550540
Buy 29260  AGOG @ 57.33 #+15145557702
Buy 63250  AGOG @ 57.03 #+15145554245
Sell 35010  AGOG @ 60.28 #+15145556813
Buy 21990  AGOG @ 55.4 #+15145554092
Buy 17420  AGOG @ 55.81 #+15145550907
Sell 16250  AGOG @ 55.14 #+15145550603
Buy 16080  AGOG @ 55.07 #+15145559219
Buy 16500  AGOG @ 55.37 #+15145550285
Buy 15220  AGOG @ 56.84 #+15145556356
Sell 12250  AGOG @ 56.14 #+15145552911
Sell 21830  AGOG @ 55.75 #+15145557689
Buy 14640  AGOG @ 55.38 #+15145556181
Sell 14330  AGOG @ 56.91 #+15145557104
Buy 13180  AGOG @ 54.59 #+15145553242
Buy 15690  AGOG @ 56.99 #+15145552999
Buy 22200  AGOG @ 55.41 #+15145555414
Buy 11620  AGOG @ 53.05 #+15145559521
Sell 12240  AGOG @ 55.04 #+15145555518
Buy 13540  AGOG @ 53.89 #+15145558904
Sell 14900  AGOG @ 53.63 #+15145553518
Sell 18250  AGOG @ 53.5 #+15145553652
Buy 21890  AGOG @ 52.44 #+15145551434
Buy 14570  AGOG @ 53.03 #+15145558975
Sell 15420  AGOG @ 54.08 #+15145552418
Buy 20850  AGOG @ 54.16 #+15145551049
Buy 10400  AGOG @ 54.54 #+15145557827
Buy 15010  AGOG @ 54.79 #+15145552329
Buy 19340  AGOG @ 56.92 #+15145550926
Sell 18580  AGOG @ 53.52 #+15145557519
Buy 15240  AGOG @ 55.09 #+15145552414
Sell 17460  AGOG @ 54.63 #+15145551741
Sell 12540  AGOG @ 54.63 #+15145551508
Buy 12510  AGOG @ 54.78 #+15145554717
Buy 6840  AGOG @ 54.02 #+15145558333
Sell 11840  AGOG @ 54.96 #+15145550888
Sell 13030  AGOG @ 53.94 #+15145554151
Sell 13490  AGOG @ 55.21 #+15145553644
Sell 11420  AGOG @ 53.36 #+15145552689
Buy 9830  AGOG @ 55.63 #+15145552700
Sell 12560  AGOG @ 54.61 #+15145551390
Sell 23240  AGOG @ 53.69 #+15145553908
Buy 16910  AGOG @ 54.4 #+15145550390
Buy 21050  AGOG @ 54.03 #+15145555460
Sell 12810  AGOG @ 54.08 #+15145556943
Sell 12150  AGOG @ 57.89 #+15145556611
Buy 10440  AGOG @ 54.71 #+15145550738
Buy 11860  AGOG @ 58.88 #+15145559832
Sell 11240  AGOG @ 55.08 #+15145557509
Buy 13300  AGOG @ 54.99 #+15145552647
Sell 22390  AGOG @ 55.42 #+15145556345
Sell 18040  AGOG @ 56.15 #+15145550827
Buy 9980  AGOG @ 54.69 #+15145550826
Buy 13060  AGOG @ 54.76 #+15145559863
Sell 11870  AGOG @ 52.29 #+15145550517
Buy 11140  AGOG @ 54.01 #+15145553229
Sell 18240  AGOG @ 51.75 #+15145552965
Sell 17580  AGOG @ 54.78 #+15145552900
Sell 12630  AGOG @ 53.87 #+15145556389
Sell 16230  AGOG @ 53.89 #+15145552573
Buy 11870  AGOG @ 56.07 #+15145559216
Sell 20490  AGOG @ 53.73 #+15145552566
Sell 16810  AGOG @ 54.69 #+15145551900
Sell 23250  AGOG @ 54.98 #+15145557821
Sell 27560  AGOG @ 53.56 #+15145557699
Buy 37770  AGOG @ 55.9 #+15145556756
Buy 82620  AGOG @ 52.59 #+15145555262
Sell 32680  AGOG @ 53.69 #+15145557846
Buy 11010  AGOG @ 58.94 #+15145550752
Sell 12370  AGOG @ 56.97 #+15145559937
Buy 14720  AGOG @ 56.94 #+15145556371
Sell 16890  AGOG @ 58.04 #+15145550024
Buy 19660  AGOG @ 57.03 #+15145554222
Sell 20230  AGOG @ 56.51 #+15145552371
Buy 15510  AGOG @ 55.39 #+15145556647
Sell 16350  AGOG @ 53.49 #+15145556356
Sell 13580  AGOG @ 54.79 #+15145557630
Buy 16080  AGOG @ 51.73 #+15145551937
Sell 9860  AGOG @ 54.87 #+15145555639
Sell 16690  AGOG @ 54.71 #+15145553539
Buy 16480  AGOG @ 55.32 #+15145556747
Sell 13340  AGOG @ 54.02 #+15145550847
Sell 12040  AGOG @ 55.91 #+15145557516
Buy 13460  AGOG @ 58.79 #+15145557288
Sell 15540  AGOG @ 56.02 #+15145558245
Sell 12140  AGOG @ 56.29 #+15145558763
Sell 16210  AGOG @ 56.96 #+15145556006
Buy 12750  AGOG @ 56.95 #+15145555873
Buy 15950  AGOG @ 56.63 #+15145557872
Sell 12220  AGOG @ 56.41 #+15145556107
Buy 22750  AGOG @ 55.88 #+15145550231
Buy 12780  AGOG @ 57.04 #+15145559518
Sell 11580  AGOG @ 56.67 #+15145551954
Sell 14210  AGOG @ 56.78 #+15145552639
Buy 18450  AGOG @ 55.14 #+15145558809
Sell 20120  AGOG @ 57.29 #+15145554552
Buy 22840  AGOG @ 55.77 #+15145551696
Buy 12410  AGOG @ 57.33 #+15145557086
Sell 12810  AGOG @ 59.86 #+15145556368
Sell 13150  AGOG @ 59.33 #+15145558903
Sell 28150  AGOG @ 58.26 #+15145552077
Sell 12490  AGOG @ 58.15 #+15145558210
Buy 10250  AGOG @ 56.94 #+15145556721
Sell 15540  AGOG @ 57.99 #+15145552272
Buy 14990  AGOG @ 56.76 #+15145552881
Sell 17420  AGOG @ 56.13 #+15145559476
Sell 21610  AGOG @ 56.15 #+15145557181
Sell 13770  AGOG @ 59.82 #+15145553110
Sell 21260  AGOG @ 55.92 #+15145552921
Sell 23760  AGOG @ 56.81 #+15145554867
Buy 13170  AGOG @ 58.97 #+15145550598
Sell 15470  AGOG @ 55.71 #+15145555643
Buy 15850  AGOG @ 54.91 #+15145554438
Sell 18900  AGOG @ 55.28 #+15145553476
Buy 19530  AGOG @ 54.17 #+15145558205
Buy 13220  AGOG @ 53.92 #+15145553615
Sell 9990  AGOG @ 53.03 #+15145558530
Buy 14200  AGOG @ 54.17 #+15145553017
Buy 16920  AGOG @ 53.9 #+15145551472
Sell 23410  AGOG @ 54.09 #+15145556838
Sell 22040  AGOG @ 54.73 #+15145556673
Buy 13230  AGOG @ 52.74 #+15145558463
Sell 15660  AGOG @ 53.66 #+15145557514
Buy 16150  AGOG @ 53.97 #+15145552377
Sell 14860  AGOG @ 54.91 #+15145553780
Sell 17920  AGOG @ 53.53 #+15145556220
Buy 23880  AGOG @ 55.35 #+15145559487
Buy 31860  AGOG @ 55.52 #+15145554488
Buy 27730  AGOG @ 54.07 #+15145552278
Sell 50100  AGOG @ 54.52 #+15145556026
Buy 34150  AGOG @ 54.62 #+15145558932
Sell 19200  AGOG @ 52.62 #+15145550858
Buy 27000  AGOG @ 52.07 #+15145550616
Buy 19850  AGOG @ 51.74 #+15145550135
Buy 16880  AGOG @ 51.05 #+15145557590
Sell 22680  AGOG @ 51.79 #+15145557898
Sell 11750  AGOG @ 53.35 #+15145555302
Sell 11100  AGOG @ 53.63 #+15145556169
Sell 20570  AGOG @ 53.9 #+15145551194
Sell 23570  AGOG @ 53.72 #+15145555608
Sell 20270  AGOG @ 52.47 #+15145558808
Sell 27850  AGOG @ 53.97 #+15145557570
Sell 27950  AGOG @ 54.51 #+15145552674
Buy 25390  AGOG @ 53.23 #+15145552541
Sell 28260  AGOG @ 52.26 #+15145551576
Sell 23540  AGOG @ 52.36 #+15145559621
Sell 20620  AGOG @ 52.31 #+15145557666
Buy 23160  AGOG @ 55.32 #+15145556666
Sell 13910  AGOG @ 49.02 #+15145556338
Sell 19570  AGOG @ 49.65 #+15145559614
Buy 18440  AGOG @ 48.9 #+15145551349
Buy 20790  AGOG @ 48.53 #+15145557787
Buy 13760  AGOG @ 49.53 #+15145553442
Buy 17950  AGOG @ 49.25 #+15145553395
Sell 20880  AGOG @ 50.6 #+15145552637
Buy 19760  AGOG @ 47.04 #+15145553692
Buy 13360  AGOG @ 50.53 #+15145557528
