Sell 5250  BOOMY @ 98.82 #+15145555318  
Sell 41700  BOOMY @ 67.49 #+15145556558 
Buy 21840  BOOMY @ 67.68 #+15145551885  
Buy 34020  BOOMY @ 67.34 #+15145558672  
Sell 40640  BOOMY @ 66.81 #+15145551772 
Buy 25900  BOOMY @ 66.5 #+15145555132   
Sell 27540  BOOMY @ 67.1 #+15145556608  
Buy 31680  BOOMY @ 67.13 #+15145551597  
Sell 15010  BOOMY @ 67.17 #+15145551326 
Sell 20310  BOOMY @ 67.17 #+15145554952 
Sell 14990  BOOMY @ 67.93 #+15145556839 
Buy 14400  BOOMY @ 68.02 #+15145550595  
Sell 12030  BOOMY @ 68 #+15145559105    
Sell 17810  BOOMY @ 68.22 #+15145551124 
Buy 23680  BOOMY @ 67.79 #+15145556982  
Buy 21020  BOOMY @ 68.07 #+15145558686  
Buy 10060  BOOMY @ 67.87 #+15145556955  
Sell 18930  BOOMY @ 67.22 #+15145550826 
Sell 16590  BOOMY @ 67.6 #+15145554174  
Sell 18430  BOOMY @ 67.9 #+15145556265  
Buy 36470  BOOMY @ 67.62 #+15145551960  
Buy 20180  BOOMY @ 67.27 #+15145559809  
Sell 20620  BOOMY @ 66.6 #+15145558989  
Buy 38760  BOOMY @ 66.57 #+15145557055  
Buy 25590  BOOMY @ 66.61 #+15145550964  
Buy 25150  BOOMY @ 66.88 #+15145552831  
Sell 30970  BOOMY @ 66.41 #+15145552126 
Buy 31210  BOOMY @ 66.94 #+15145557670  
Sell 13550  BOOMY @ 66.65 #+15145554324 
Sell 20400  BOOMY @ 66.44 #+15145550263 
Buy 25920  BOOMY @ 66.67 #+15145552245  
Sell 23800  BOOMY @ 66.68 #+15145556610 
Buy 11250  BOOMY @ 66.19 #+15145552450  
Buy 12110  BOOMY @ 66.33 #+15145552393  
Sell 17160  BOOMY @ 66.36 #+15145551304 
Buy 23970  BOOMY @ 66.34 #+15145559831  
Buy 27420  BOOMY @ 66.52 #+15145556498  
Buy 13410  BOOMY @ 66.34 #+15145550581  
Sell 21460  BOOMY @ 66.38 #+15145558091 
Sell 23530  BOOMY @ 65.76 #+15145558933 
Sell 23780  BOOMY @ 65.1 #+15145555071  
Buy 16660  BOOMY @ 65.54 #+15145557396  
Sell 18730  BOOMY @ 65.44 #+15145558090 
Sell 27690  BOOMY @ 64.82 #+15145554298 
Buy 28180  BOOMY @ 64.77 #+15145556511  
Sell 17130  BOOMY @ 64.05 #+15145556721 
Buy 19930  BOOMY @ 63.97 #+15145558024  
Sell 36750  BOOMY @ 64.23 #+15145557736 
Buy 40180  BOOMY @ 63.84 #+15145555086  
Buy 22830  BOOMY @ 63.57 #+15145551263  
Buy 22770  BOOMY @ 63.22 #+15145559089  
Buy 13330  BOOMY @ 63.38 #+15145554562  
Sell 17100  BOOMY @ 62.89 #+15145556530 
Buy 25650  BOOMY @ 62.64 #+15145553508  
Sell 26350  BOOMY @ 62.5 #+15145554447  
Buy 17690  BOOMY @ 62.35 #+15145557518  
Buy 10270  BOOMY @ 61.82 #+15145551406  
Sell 22630  BOOMY @ 60.89 #+15145551591 
Buy 18820  BOOMY @ 60.97 #+15145552130  
Buy 11740  BOOMY @ 61.38 #+15145556870  
Buy 66290  BOOMY @ 61.41 #+15145559618  
Buy 17790  BOOMY @ 61.43 #+15145553950  
Buy 19900  BOOMY @ 61.41 #+15145556489  
Buy 12240  BOOMY @ 61.18 #+15145552131  
Sell 31600  BOOMY @ 61.64 #+15145557926 
Buy 29290  BOOMY @ 61.44 #+15145551748  
Buy 18890  BOOMY @ 61.4 #+15145555366   
Buy 11790  BOOMY @ 61.28 #+15145556115  
Buy 23040  BOOMY @ 61.63 #+15145550292  
Buy 18730  BOOMY @ 61.46 #+15145550666  
Sell 15710  BOOMY @ 61.06 #+15145550703 
Buy 16270  BOOMY @ 60.7 #+15145550320   
Buy 25380  BOOMY @ 60.79 #+15145555033  
Sell 31060  BOOMY @ 60.38 #+15145555465 
Sell 23980  BOOMY @ 60.61 #+15145556162 
Sell 17920  BOOMY @ 60.13 #+15145558365 
Sell 29360  BOOMY @ 60.05 #+15145558008 
Buy 33320  BOOMY @ 59.3 #+15145551155   
Buy 33330  BOOMY @ 59.32 #+15145557924  
Sell 39100  BOOMY @ 59.43 #+15145556508 
Sell 25940  BOOMY @ 59.82 #+15145557369 
Buy 21300  BOOMY @ 59.75 #+15145552560  
Buy 25870  BOOMY @ 60.17 #+15145553962  
Buy 31330  BOOMY @ 59.79 #+15145558946  
Buy 16160  BOOMY @ 59.45 #+15145550615  
Buy 37210  BOOMY @ 60.46 #+15145553794  
Sell 47460  BOOMY @ 60.19 #+15145556087 
Sell 37730  BOOMY @ 59.57 #+15145555396 
Sell 38360  BOOMY @ 59.98 #+15145558972 
Buy 39270  BOOMY @ 60.48 #+15145558515  
Buy 39710  BOOMY @ 60.37 #+15145558017  
Sell 38700  BOOMY @ 60.59 #+15145556720 
Sell 31720  BOOMY @ 61.09 #+15145559949 
Buy 29140  BOOMY @ 61.55 #+15145558252  
Buy 55230  BOOMY @ 61.18 #+15145552841  
Sell 64060  BOOMY @ 61.4 #+15145552952  
Buy 75610  BOOMY @ 61.22 #+15145555072  
Sell 49160  BOOMY @ 61.08 #+15145551027 
Sell 34500  BOOMY @ 61 #+15145550774    
Sell 17850  BOOMY @ 61.26 #+15145552158 
Sell 12460  BOOMY @ 61.33 #+15145555513 
Buy 13340  BOOMY @ 61.12 #+15145553677  
Sell 35950  BOOMY @ 60.52 #+15145551299 
Sell 32800  BOOMY @ 60.31 #+15145555852 
Sell 23000  BOOMY @ 60.01 #+15145555813 
Buy 29680  BOOMY @ 59.89 #+15145554270  
Buy 43950  BOOMY @ 59.72 #+15145553142  
Buy 42310  BOOMY @ 60.04 #+15145558446  
Sell 49060  BOOMY @ 59.37 #+15145553391 
Sell 43770  BOOMY @ 59.33 #+15145555810 
Sell 50330  BOOMY @ 58.78 #+15145559540 
Sell 30300  BOOMY @ 58.4 #+15145554115  
Sell 10530  BOOMY @ 57.9 #+15145555822  
Sell 9650  BOOMY @ 58.45 #+15145552476  
Buy 9550  BOOMY @ 58.04 #+15145553260   
Buy 14130  BOOMY @ 57.71 #+15145551364  
Buy 9920  BOOMY @ 57.77 #+15145553673   
Sell 18190  BOOMY @ 57.15 #+15145556613 
Buy 36980  BOOMY @ 57.41 #+15145556640  
Sell 26770  BOOMY @ 57.42 #+15145551310 
Sell 27200  BOOMY @ 57.77 #+15145553294 
Buy 20170  BOOMY @ 57.71 #+15145550262  
Buy 19250  BOOMY @ 57.48 #+15145558207  
Buy 12850  BOOMY @ 57.12 #+15145553230  
Buy 11690  BOOMY @ 57.11 #+15145550931  
Buy 20810  BOOMY @ 56.55 #+15145556625  
Buy 33180  BOOMY @ 56.39 #+15145558964  
Sell 55490  BOOMY @ 55.93 #+15145553305 
Sell 30620  BOOMY @ 56.34 #+15145555587 
Sell 21720  BOOMY @ 56.74 #+15145559386 
Sell 10430  BOOMY @ 57.01 #+15145556915 
Sell 7310  BOOMY @ 57.24 #+15145557129  
Sell 7180  BOOMY @ 57.45 #+15145558395  
Buy 8890  BOOMY @ 57.59 #+15145559514   
Sell 8060  BOOMY @ 57.24 #+15145553062  
Buy 13810  BOOMY @ 57.35 #+15145557868  
Sell 8990  BOOMY @ 57.3 #+15145557557   
Sell 8340  BOOMY @ 57.66 #+15145552337  
Buy 11440  BOOMY @ 57.42 #+15145559514  
Buy 9280  BOOMY @ 57.96 #+15145554223   
Buy 6460  BOOMY @ 58.41 #+15145559006   
Sell 5680  BOOMY @ 57.63 #+15145557911  
Buy 4370  BOOMY @ 57.19 #+15145552942   
Sell 14100  BOOMY @ 56.48 #+15145555252 
Buy 17960  BOOMY @ 55.83 #+15145557927  
Sell 7220  BOOMY @ 55.64 #+15145556144  
Buy 9260  BOOMY @ 55.83 #+15145559483   
Buy 10220  BOOMY @ 55.65 #+15145553925  
Buy 7720  BOOMY @ 55.61 #+15145551823   
Sell 7890  BOOMY @ 55.2 #+15145557960   
Buy 10410  BOOMY @ 54.9 #+15145555050   
Buy 8680  BOOMY @ 55.1 #+15145559284    
Sell 2090  BOOMY @ 54.79 #+15145553880  
Buy 5910  BOOMY @ 54.48 #+15145558776   
Sell 7960  BOOMY @ 53.85 #+15145554622  
Buy 7220  BOOMY @ 54.15 #+15145556935   
Sell 8130  BOOMY @ 54.13 #+15145554679  
Sell 6810  BOOMY @ 54.28 #+15145550069  
Buy 7890  BOOMY @ 54.21 #+15145555905   
Buy 7600  BOOMY @ 53.71 #+15145558879   
Buy 2680  BOOMY @ 53.64 #+15145556889   
Buy 6520  BOOMY @ 53.79 #+15145558085   
Buy 6880  BOOMY @ 53.38 #+15145552401   
Sell 10830  BOOMY @ 52.97 #+15145559629 
Buy 10410  BOOMY @ 53.21 #+15145557044  
Buy 1950  BOOMY @ 53.02 #+15145555499   
Sell 9550  BOOMY @ 53.34 #+15145557044  
Sell 5200  BOOMY @ 53.15 #+15145556479  
Buy 4100  BOOMY @ 52.84 #+15145554613   
Sell 2820  BOOMY @ 52.36 #+15145557702  
Buy 12020  BOOMY @ 52.23 #+15145550152  
Sell 4520  BOOMY @ 52.29 #+15145557331  
Sell 12490  BOOMY @ 52.66 #+15145553007 
Sell 10140  BOOMY @ 52.68 #+15145551090 
Buy 9920  BOOMY @ 53.07 #+15145556427   
Buy 7790  BOOMY @ 52.55 #+15145553476   
Buy 5140  BOOMY @ 52.61 #+15145553460   
Sell 2390  BOOMY @ 52.91 #+15145552803  
Sell 5220  BOOMY @ 53.11 #+15145559665  
Buy 6070  BOOMY @ 53.57 #+15145552065   
Buy 2660  BOOMY @ 52.86 #+15145554228   
Buy 5570  BOOMY @ 52.79 #+15145552854   
Sell 8900  BOOMY @ 52.72 #+15145552281  
Buy 10000  BOOMY @ 52.57 #+15145553782  
Sell 11320  BOOMY @ 52.52 #+15145553364 
Buy 6770  BOOMY @ 52.14 #+15145550486   
Sell 6770  BOOMY @ 52.42 #+15145557003  
Sell 12040  BOOMY @ 52.6 #+15145559851  
Buy 12440  BOOMY @ 52.76 #+15145556627  
Sell 13830  BOOMY @ 53.16 #+15145554295 
Sell 13140  BOOMY @ 53.54 #+15145552172 
Sell 14360  BOOMY @ 53.33 #+15145552634 
Buy 8630  BOOMY @ 52.96 #+15145556000   
Buy 11470  BOOMY @ 52.48 #+15145553405  
Buy 14020  BOOMY @ 52.61 #+15145554267  
Buy 4700  BOOMY @ 52.75 #+15145553616   
Buy 5430  BOOMY @ 53.45 #+15145557002   
Sell 9160  BOOMY @ 53.53 #+15145556218  
Sell 6950  BOOMY @ 53.86 #+15145551904  
Buy 5650  BOOMY @ 54.25 #+15145550153   
Buy 7540  BOOMY @ 54.79 #+15145558864   
Sell 2730  BOOMY @ 54.55 #+15145552150  
Sell 11520  BOOMY @ 54.17 #+15145559183 
Sell 10670  BOOMY @ 54.19 #+15145555511 
Sell 12060  BOOMY @ 54.48 #+15145555887 
Buy 12230  BOOMY @ 54.24 #+15145556653  
Buy 9170  BOOMY @ 53.8 #+15145558439    
Buy 7630  BOOMY @ 53.65 #+15145557907   
Buy 8770  BOOMY @ 53.73 #+15145552511   
Sell 3570  BOOMY @ 53.53 #+15145552903  
Buy 12020  BOOMY @ 54.29 #+15145554784  
Buy 11380  BOOMY @ 54.07 #+15145556335  
Sell 11070  BOOMY @ 53.9 #+15145552129  
Sell 11080  BOOMY @ 53.67 #+15145557986 
Sell 7810  BOOMY @ 53.67 #+15145557110  
Buy 11560  BOOMY @ 53.53 #+15145558902  
Buy 6550  BOOMY @ 52.9 #+15145559686    
Buy 4680  BOOMY @ 52.34 #+15145557218   
Sell 8710  BOOMY @ 52.72 #+15145555664  
Sell 7390  BOOMY @ 52.2 #+15145553200   
Buy 5590  BOOMY @ 52.14 #+15145557817   
Buy 12040  BOOMY @ 52.38 #+15145552073  
Sell 10930  BOOMY @ 52.35 #+15145558732 
Buy 16990  BOOMY @ 51.87 #+15145557579  
Buy 6830  BOOMY @ 52.03 #+15145553245   
Sell 10140  BOOMY @ 51.78 #+15145557832 
Sell 13210  BOOMY @ 51.64 #+15145550854 
Sell 4740  BOOMY @ 51.42 #+15145553052  
Buy 13650  BOOMY @ 51.54 #+15145554666  
Buy 10870  BOOMY @ 51.19 #+15145554629  
Buy 9370  BOOMY @ 50.83 #+15145553898   
Sell 15780  BOOMY @ 50.61 #+15145559184 
Buy 14290  BOOMY @ 50.82 #+15145551127  
Buy 15600  BOOMY @ 50.42 #+15145550115  
Buy 23210  BOOMY @ 50.6 #+15145559202   
Buy 11180  BOOMY @ 50.43 #+15145559314  
Sell 6950  BOOMY @ 50.14 #+15145550964  
Buy 12130  BOOMY @ 50.25 #+15145551901  
Buy 7390  BOOMY @ 49.86 #+15145555706   
Buy 11030  BOOMY @ 49.71 #+15145554349  
Buy 11260  BOOMY @ 49.67 #+15145558369  
Sell 11050  BOOMY @ 49.79 #+15145555558 
Buy 11810  BOOMY @ 49.65 #+15145557240  
Sell 14670  BOOMY @ 49.66 #+15145557575 
Buy 9830  BOOMY @ 49.59 #+15145556916   
Sell 15700  BOOMY @ 49.51 #+15145556261 
Sell 7840  BOOMY @ 49.82 #+15145556505  
Buy 10620  BOOMY @ 49.6 #+15145555126   
Sell 10440  BOOMY @ 49.83 #+15145554956 
Buy 10760  BOOMY @ 49.12 #+15145558124  
Buy 4360  BOOMY @ 50.18 #+15145553296   
Buy 7440  BOOMY @ 50.25 #+15145551891   
Sell 5600  BOOMY @ 50.06 #+15145553013  
Buy 12560  BOOMY @ 49.79 #+15145552629  
Buy 9580  BOOMY @ 49.51 #+15145553779   
Buy 12660  BOOMY @ 49.3 #+15145559484   
Buy 11520  BOOMY @ 49.43 #+15145558899  
Buy 11870  BOOMY @ 48.85 #+15145553189  
Sell 8340  BOOMY @ 48.81 #+15145558496  
Sell 17210  BOOMY @ 49.01 #+15145555406 
Buy 18390  BOOMY @ 49.01 #+15145557811  
Sell 3130  BOOMY @ 49.29 #+15145559935  
Buy 11350  BOOMY @ 49.35 #+15145559220  
Sell 10810  BOOMY @ 48.61 #+15145550643 
Sell 6350  BOOMY @ 48.42 #+15145553453  
Sell 9730  BOOMY @ 48.12 #+15145552075  
Sell 11490  BOOMY @ 47.82 #+15145555744 
Buy 6480  BOOMY @ 48.19 #+15145550691   
Buy 9150  BOOMY @ 48.48 #+15145551433   
Sell 8430  BOOMY @ 49.05 #+15145555464  
Buy 6710  BOOMY @ 49.41 #+15145557073   
Sell 8710  BOOMY @ 49.4 #+15145553295   
Buy 4340  BOOMY @ 49.4 #+15145559314    
Sell 11840  BOOMY @ 48.98 #+15145551137 
Buy 14340  BOOMY @ 48.92 #+15145553184  
Sell 17030  BOOMY @ 48.97 #+15145557373 
Sell 15120  BOOMY @ 48.88 #+15145552621 
Sell 9690  BOOMY @ 48.34 #+15145554304  
Buy 8230  BOOMY @ 48.24 #+15145555321   
Buy 4070  BOOMY @ 48.03 #+15145550101   
Buy 5460  BOOMY @ 48.24 #+15145556508   
Sell 12960  BOOMY @ 48.47 #+15145551967 
Buy 12210  BOOMY @ 48.85 #+15145550028  
Buy 9410  BOOMY @ 48.91 #+15145558768   
Sell 4450  BOOMY @ 48.8 #+15145553098   
Buy 8610  BOOMY @ 48.41 #+15145554885   
Sell 8120  BOOMY @ 48.86 #+15145559526  
Sell 12420  BOOMY @ 49.18 #+15145559078 
Sell 6780  BOOMY @ 48.62 #+15145559235  
Sell 5530  BOOMY @ 48.51 #+15145553025  
Buy 3740  BOOMY @ 48.5 #+15145552722    
Buy 7740  BOOMY @ 48.16 #+15145558024   
Buy 11880  BOOMY @ 48.49 #+15145554019  
Sell 15270  BOOMY @ 48.34 #+15145554913 
Sell 8890  BOOMY @ 48.23 #+15145558819  
Sell 11480  BOOMY @ 48.21 #+15145556622 
Sell 10280  BOOMY @ 48.12 #+15145557261 
Sell 9130  BOOMY @ 47.86 #+15145559754  
Sell 5970  BOOMY @ 48.18 #+15145557636  
Sell 12590  BOOMY @ 48.3 #+15145555800  
Sell 3150  BOOMY @ 47.76 #+15145551884  
Sell 6650  BOOMY @ 47.72 #+15145553593  
Sell 15630  BOOMY @ 47.92 #+15145553480 
Buy 8550  BOOMY @ 48.2 #+15145556248    
Buy 5950  BOOMY @ 48.39 #+15145557311   
Buy 10270  BOOMY @ 48.09 #+15145557598  
Sell 9240  BOOMY @ 48.1 #+15145555292   
Buy 14530  BOOMY @ 47.88 #+15145550969  
Sell 9170  BOOMY @ 47.49 #+15145555434  
Buy 7280  BOOMY @ 47.35 #+15145556719   
Buy 16600  BOOMY @ 47.49 #+15145554139  
Sell 19360  BOOMY @ 47.38 #+15145552485 
Buy 15000  BOOMY @ 47.77 #+15145556834  
Sell 12840  BOOMY @ 47.9 #+15145552196  
Sell 9240  BOOMY @ 48.04 #+15145556182  
Buy 7800  BOOMY @ 47.74 #+15145551127   
Buy 6940  BOOMY @ 47.49 #+15145555270   
Sell 10410  BOOMY @ 47.51 #+15145558964 
Sell 8390  BOOMY @ 47.06 #+15145555562  
Sell 6000  BOOMY @ 46.88 #+15145550234  
Sell 3470  BOOMY @ 46.59 #+15145555067  
Buy 8920  BOOMY @ 46.22 #+15145553934   
Sell 9220  BOOMY @ 46.4 #+15145552235   
Sell 3660  BOOMY @ 46.12 #+15145557844  
Sell 12800  BOOMY @ 46.16 #+15145550723 
Buy 5180  BOOMY @ 45.92 #+15145550589   
Sell 13660  BOOMY @ 45.75 #+15145559001 
Sell 9720  BOOMY @ 46.27 #+15145550667  
Sell 14020  BOOMY @ 46.51 #+15145552911 
Buy 13890  BOOMY @ 46.72 #+15145557659  
Buy 9730  BOOMY @ 47.35 #+15145558286   
Sell 14860  BOOMY @ 47.48 #+15145551372 
Buy 10840  BOOMY @ 47.57 #+15145558720  
Sell 8720  BOOMY @ 47.34 #+15145554909  
Buy 10300  BOOMY @ 47.77 #+15145553524  
Buy 12670  BOOMY @ 47.74 #+15145553858  
Sell 10100  BOOMY @ 47.26 #+15145551163 
Sell 5770  BOOMY @ 47.07 #+15145550616  
Sell 8410  BOOMY @ 46.85 #+15145552971  
Sell 12120  BOOMY @ 46.82 #+15145559694 
Sell 19160  BOOMY @ 47.02 #+15145559297 
Buy 12460  BOOMY @ 47.22 #+15145552794  
Buy 13200  BOOMY @ 46.95 #+15145551307  
Buy 17570  BOOMY @ 46.87 #+15145552681  
Sell 9590  BOOMY @ 46.7 #+15145554821   
Buy 13660  BOOMY @ 46.93 #+15145556620  
Buy 7520  BOOMY @ 46.81 #+15145559401   
Buy 13630  BOOMY @ 46.81 #+15145552773  
Sell 18950  BOOMY @ 46.83 #+15145552814 
Sell 7160  BOOMY @ 46.38 #+15145550398  
Buy 12210  BOOMY @ 46.24 #+15145555905  
Sell 12830  BOOMY @ 46.15 #+15145553477 
Buy 4710  BOOMY @ 46.18 #+15145552530   
Buy 12390  BOOMY @ 45.86 #+15145557837  
Sell 10340  BOOMY @ 45.78 #+15145557067 
Buy 6780  BOOMY @ 45.42 #+15145558612   
Buy 7730  BOOMY @ 46.16 #+15145553041   
Sell 9330  BOOMY @ 46.15 #+15145554536  
Buy 13500  BOOMY @ 46.02 #+15145553018  
Buy 21420  BOOMY @ 46.11 #+15145558509  
Buy 11610  BOOMY @ 45.9 #+15145559906   
Buy 12240  BOOMY @ 45.67 #+15145557099  
Buy 7860  BOOMY @ 45.91 #+15145559680   
Sell 7630  BOOMY @ 46.2 #+15145550815   
Sell 10830  BOOMY @ 46.28 #+15145555586 
Sell 5390  BOOMY @ 46.6 #+15145558621   
Sell 9620  BOOMY @ 46.44 #+15145559187  
Buy 13690  BOOMY @ 46.33 #+15145555822  
Sell 11420  BOOMY @ 46.17 #+15145558750 
Buy 12850  BOOMY @ 45.56 #+15145552170  
Sell 11860  BOOMY @ 45.54 #+15145555236 
Sell 17640  BOOMY @ 45.39 #+15145553393 
Sell 11960  BOOMY @ 45.46 #+15145555440 
Buy 12620  BOOMY @ 45.42 #+15145558364  
Buy 10190  BOOMY @ 45.2 #+15145550654   
Buy 4660  BOOMY @ 44.95 #+15145557878   
Sell 10510  BOOMY @ 44.86 #+15145551425 
Buy 11410  BOOMY @ 44.73 #+15145553311  
Buy 9570  BOOMY @ 44.35 #+15145553559   
Buy 17100  BOOMY @ 44.83 #+15145557618  
Buy 13040  BOOMY @ 45.46 #+15145557826  
Buy 14540  BOOMY @ 45.11 #+15145553206  
Sell 7990  BOOMY @ 44.94 #+15145554056  
Sell 17280  BOOMY @ 44.75 #+15145556761 
Buy 13260  BOOMY @ 44.57 #+15145559751  
Buy 11200  BOOMY @ 44.59 #+15145551618  
Sell 3700  BOOMY @ 44.68 #+15145554972  
Sell 15160  BOOMY @ 45.23 #+15145550355 
Sell 10760  BOOMY @ 45.06 #+15145559062 
Sell 14720  BOOMY @ 44.9 #+15145551685  
Sell 13030  BOOMY @ 45.05 #+15145556143 
Sell 13340  BOOMY @ 44.65 #+15145556170 
Sell 9720  BOOMY @ 44.69 #+15145550042  
Sell 6190  BOOMY @ 44.91 #+15145558239  
Buy 13980  BOOMY @ 45.13 #+15145559442  
Buy 18100  BOOMY @ 45 #+15145554065     
Sell 22910  BOOMY @ 44.89 #+15145555430 
Buy 19330  BOOMY @ 45.24 #+15145556943  
Buy 12830  BOOMY @ 45.1 #+15145555338   
Sell 26850  BOOMY @ 45.43 #+15145554569 
Buy 16760  BOOMY @ 45.92 #+15145553798  
Sell 14470  BOOMY @ 46.04 #+15145556310 
Buy 18250  BOOMY @ 45.68 #+15145552536  
Buy 12110  BOOMY @ 45.64 #+15145556265  
Sell 15920  BOOMY @ 45.72 #+15145555438 
Sell 9260  BOOMY @ 46.03 #+15145551794  
Sell 13920  BOOMY @ 46.1 #+15145553070  
Buy 14000  BOOMY @ 46.16 #+15145552058  
Sell 19910  BOOMY @ 46.32 #+15145556109 
Sell 17450  BOOMY @ 46.66 #+15145554514 
Sell 17720  BOOMY @ 46.48 #+15145558669 
Buy 23810  BOOMY @ 46.52 #+15145557655  
Buy 17390  BOOMY @ 46.1 #+15145555530   
Buy 9620  BOOMY @ 46.28 #+15145551545   
Buy 7080  BOOMY @ 46.57 #+15145555085   
Sell 12900  BOOMY @ 46.5 #+15145553212  
Buy 13690  BOOMY @ 46.62 #+15145559114  
Buy 7390  BOOMY @ 46.26 #+15145556161   
Sell 12370  BOOMY @ 46.34 #+15145550266 
Buy 14410  BOOMY @ 46.36 #+15145550207  
Sell 4910  BOOMY @ 46.54 #+15145554610  
Sell 5640  BOOMY @ 46.62 #+15145557294  
Sell 9480  BOOMY @ 46.73 #+15145558084  
Sell 9270  BOOMY @ 46.78 #+15145555408  
Buy 8180  BOOMY @ 47.64 #+15145550645   
Sell 12740  BOOMY @ 47.71 #+15145555571 
Buy 13750  BOOMY @ 47.88 #+15145554998  
Buy 10850  BOOMY @ 47.56 #+15145554164  
Buy 10550  BOOMY @ 47.64 #+15145557144  
Sell 10000  BOOMY @ 47.96 #+15145556597 
Sell 14380  BOOMY @ 48.33 #+15145559459 
Sell 7160  BOOMY @ 48.57 #+15145551470  
Sell 16410  BOOMY @ 48.64 #+15145558371 
Buy 18150  BOOMY @ 48.73 #+15145559455  
Buy 15230  BOOMY @ 48.65 #+15145557018  
Sell 9210  BOOMY @ 48.65 #+15145552428  
Sell 16300  BOOMY @ 48.41 #+15145554901 
Sell 8340  BOOMY @ 48.63 #+15145550640  
Sell 13090  BOOMY @ 48.67 #+15145558194 
Sell 6290  BOOMY @ 48.84 #+15145556928  
Buy 7920  BOOMY @ 49.1 #+15145553878    
Buy 10210  BOOMY @ 49.32 #+15145550431  
Sell 15520  BOOMY @ 49.18 #+15145554631 
Sell 12680  BOOMY @ 49.11 #+15145559231 
Sell 5710  BOOMY @ 49.56 #+15145555213  
Buy 7570  BOOMY @ 49.23 #+15145558676   
Buy 17650  BOOMY @ 49.12 #+15145557635  
Buy 13620  BOOMY @ 49.49 #+15145553839  
Buy 15790  BOOMY @ 49.65 #+15145551463  
Buy 10200  BOOMY @ 49.38 #+15145553644  
Sell 11140  BOOMY @ 49.32 #+15145551296 
Buy 19790  BOOMY @ 49.44 #+15145554034  
Sell 28190  BOOMY @ 49.48 #+15145557272 
Buy 13600  BOOMY @ 49.45 #+15145556153  
Sell 7030  BOOMY @ 49.34 #+15145554568  
Sell 18190  BOOMY @ 49.17 #+15145555632 
Buy 17760  BOOMY @ 49.32 #+15145552124  
Buy 12440  BOOMY @ 49.05 #+15145559703  
Sell 17480  BOOMY @ 48.73 #+15145550384 
Sell 20300  BOOMY @ 48.93 #+15145559482 
Buy 15680  BOOMY @ 49.36 #+15145554085  
Buy 19610  BOOMY @ 49.22 #+15145550514  
Buy 20880  BOOMY @ 49 #+15145557270     
Sell 19290  BOOMY @ 48.4 #+15145554036  
Buy 11050  BOOMY @ 48.13 #+15145557764  
Sell 13120  BOOMY @ 48.04 #+15145552253 
Buy 26820  BOOMY @ 48.23 #+15145558027  
Buy 12860  BOOMY @ 48.12 #+15145554390  
Sell 20770  BOOMY @ 48.11 #+15145559718 
Sell 9110  BOOMY @ 47.89 #+15145554908  
Sell 7370  BOOMY @ 47.78 #+15145559264  
Buy 10040  BOOMY @ 48.28 #+15145558900  
Buy 13660  BOOMY @ 48.07 #+15145551002  
Buy 12750  BOOMY @ 48.3 #+15145555051   
Buy 20020  BOOMY @ 48.16 #+15145551886  
Sell 23980  BOOMY @ 47.75 #+15145554263 
Sell 11180  BOOMY @ 48.02 #+15145552083 
Buy 9470  BOOMY @ 48.24 #+15145557168   
Buy 7820  BOOMY @ 48.52 #+15145553480   
Sell 7300  BOOMY @ 48.4 #+15145557447   
Buy 11730  BOOMY @ 48.19 #+15145551536  
Buy 11420  BOOMY @ 48.07 #+15145554640  
Buy 7080  BOOMY @ 48.18 #+15145556315   
Sell 12960  BOOMY @ 48.41 #+15145554480 
Buy 14730  BOOMY @ 48.23 #+15145554610  
Buy 15100  BOOMY @ 48.13 #+15145550139  
Buy 8110  BOOMY @ 48.77 #+15145554403   
Buy 17060  BOOMY @ 48.66 #+15145555967  
Buy 24230  BOOMY @ 48.92 #+15145550682  
Sell 12570  BOOMY @ 49.34 #+15145558484 
Sell 14450  BOOMY @ 49.5 #+15145557205  
Sell 10700  BOOMY @ 49.53 #+15145553946 
Sell 14660  BOOMY @ 49.61 #+15145555647 
Buy 13790  BOOMY @ 49.71 #+15145551706  
Buy 8520  BOOMY @ 49.96 #+15145558119   
Buy 11060  BOOMY @ 49.91 #+15145557528  
Sell 9400  BOOMY @ 50.14 #+15145554054  
Sell 12390  BOOMY @ 50.32 #+15145554734 
Sell 7640  BOOMY @ 50.42 #+15145551912  
Sell 12290  BOOMY @ 50.6 #+15145556081  
Buy 6020  BOOMY @ 50.8 #+15145553715    
Sell 7260  BOOMY @ 50.52 #+15145554804  
Buy 6940  BOOMY @ 50.17 #+15145554463   
Buy 12640  BOOMY @ 50.65 #+15145557790  
Buy 21100  BOOMY @ 50.87 #+15145553875  
Sell 14610  BOOMY @ 51.02 #+15145555131 
Sell 8850  BOOMY @ 51.06 #+15145551989  
Sell 13540  BOOMY @ 50.67 #+15145558799 
Sell 9850  BOOMY @ 50.62 #+15145555125  
Buy 11970  BOOMY @ 50.74 #+15145551431  
Buy 10290  BOOMY @ 50.65 #+15145555252  
Sell 4110  BOOMY @ 49.84 #+15145558549  
Sell 13500  BOOMY @ 49.71 #+15145550003 
Sell 15450  BOOMY @ 49.73 #+15145555503 
Sell 17470  BOOMY @ 49.94 #+15145555911 
Sell 18420  BOOMY @ 49.77 #+15145556766 
Sell 4260  BOOMY @ 50.05 #+15145558918  
Sell 6680  BOOMY @ 50.42 #+15145552666  
