Sell 5590  AVAB @ 91.77 #+15145554734
Buy 10200  AVAB @ 124.26 #+15145551037
Sell 7610  AVAB @ 121.9 #+15145552113
Sell 9440  AVAB @ 121.51 #+15145554364
Buy 9020  AVAB @ 124.74 #+15145556285
Buy 7080  AVAB @ 128.85 #+15145550938
Sell 14270  AVAB @ 129.37 #+15145556879
Buy 5040  AVAB @ 133.26 #+15145550000
Buy 9820  AVAB @ 137.66 #+15145558270
Buy 13600  AVAB @ 138.57 #+15145559809
Buy 11650  AVAB @ 137.34 #+15145557055
Sell 12420  AVAB @ 132.34 #+15145551256
Sell 10320  AVAB @ 132.83 #+15145556199
Sell 5450  AVAB @ 136.52 #+15145550516
Buy 13410  AVAB @ 139.89 #+15145550676
Sell 16570  AVAB @ 142.7 #+15145554314
Sell 17210  AVAB @ 135.41 #+15145551993
Buy 16920  AVAB @ 132.33 #+15145552125
Buy 10920  AVAB @ 136.61 #+15145558709
Buy 17690  AVAB @ 138.13 #+15145554210
Buy 14340  AVAB @ 140.4 #+15145550103
Buy 12750  AVAB @ 141.64 #+15145554130
Buy 12710  AVAB @ 148.12 #+15145554875
Sell 10850  AVAB @ 145.12 #+15145550890
Buy 20650  AVAB @ 145.63 #+15145559710
Buy 12890  AVAB @ 146.72 #+15145550756
Sell 22920  AVAB @ 147.63 #+15145559866
Sell 33730  AVAB @ 147.55 #+15145556247
Buy 23230  AVAB @ 144.1 #+15145558147
Sell 19120  AVAB @ 144.52 #+15145550228
Sell 20250  AVAB @ 138.69 #+15145555726
Buy 25740  AVAB @ 137.02 #+15145558635
Buy 15360  AVAB @ 138.64 #+15145552705
Buy 24710  AVAB @ 143.41 #+15145557426
Sell 16980  AVAB @ 145.44 #+15145557824
Sell 24450  AVAB @ 147.74 #+15145554063
Sell 11180  AVAB @ 149.73 #+15145550995
Sell 6890  AVAB @ 153.87 #+15145554160
Buy 15450  AVAB @ 155.82 #+15145556360
Sell 10160  AVAB @ 152 #+15145556152
Buy 7570  AVAB @ 155.52 #+15145558176
Buy 11930  AVAB @ 159.72 #+15145550035
Buy 16350  AVAB @ 158.61 #+15145558983
Buy 18660  AVAB @ 164.98 #+15145558525
Buy 11820  AVAB @ 164.83 #+15145550180
Sell 14950  AVAB @ 163.23 #+15145553781
Sell 15840  AVAB @ 169.2 #+15145550292
Buy 12210  AVAB @ 167.8 #+15145555421
Buy 14050  AVAB @ 168.24 #+15145558979
Buy 17400  AVAB @ 166.95 #+15145557040
Sell 15640  AVAB @ 175.28 #+15145550956
Sell 17370  AVAB @ 170.11 #+15145552082
Sell 21710  AVAB @ 162.85 #+15145555070
Buy 23680  AVAB @ 165.3 #+15145551110
Sell 19000  AVAB @ 164.2 #+15145558189
Sell 17100  AVAB @ 158.31 #+15145551688
Sell 22480  AVAB @ 161.61 #+15145557168
Sell 20440  AVAB @ 162.42 #+15145556320
Buy 26650  AVAB @ 158.82 #+15145555349
Buy 18970  AVAB @ 153.99 #+15145559727
Buy 27370  AVAB @ 158.62 #+15145559618
Sell 28790  AVAB @ 156.69 #+15145553351
Buy 22420  AVAB @ 156.17 #+15145559044
Buy 13250  AVAB @ 155.25 #+15145555582
Sell 13660  AVAB @ 154.76 #+15145557508
Buy 20320  AVAB @ 161.34 #+15145553111
Buy 30690  AVAB @ 164.62 #+15145551917
Buy 18560  AVAB @ 166.02 #+15145552983
Sell 27580  AVAB @ 164.59 #+15145550969
Sell 26130  AVAB @ 162.55 #+15145550856
Buy 15640  AVAB @ 160.85 #+15145551344
Sell 21120  AVAB @ 159.19 #+15145553093
Sell 24760  AVAB @ 156.21 #+15145556232
Sell 17490  AVAB @ 154.55 #+15145558426
Sell 41130  AVAB @ 153.45 #+15145559629
Sell 24810  AVAB @ 159.34 #+15145554395
Sell 13470  AVAB @ 163.43 #+15145558104
Sell 35860  AVAB @ 162.55 #+15145554801
Buy 37790  AVAB @ 164 #+15145554808
Buy 25160  AVAB @ 162.13 #+15145556318
Sell 33870  AVAB @ 158.6 #+15145554544
Buy 46490  AVAB @ 158.62 #+15145559437
Sell 28320  AVAB @ 160.21 #+15145558732
Sell 32520  AVAB @ 161.45 #+15145557961
Buy 23800  AVAB @ 158.58 #+15145550665
Sell 14220  AVAB @ 155.36 #+15145554242
Buy 15390  AVAB @ 151.13 #+15145551346
Sell 22500  AVAB @ 150.68 #+15145550643
Sell 9910  AVAB @ 151.04 #+15145559568
Sell 11440  AVAB @ 151.96 #+15145557140
Buy 14840  AVAB @ 151.61 #+15145556292
Sell 18520  AVAB @ 152.48 #+15145556137
Sell 12480  AVAB @ 154.57 #+15145557599
Sell 8780  AVAB @ 158.54 #+15145555466
Sell 26230  AVAB @ 157.89 #+15145558048
Buy 21930  AVAB @ 156.37 #+15145552432
Sell 22320  AVAB @ 159.42 #+15145558735
Buy 30170  AVAB @ 155.08 #+15145555994
Sell 21980  AVAB @ 159.65 #+15145551672
Buy 18260  AVAB @ 160.11 #+15145555539
Buy 35360  AVAB @ 156.02 #+15145557297
Buy 29610  AVAB @ 152.9 #+15145551480
Buy 34300  AVAB @ 152.09 #+15145558943
Sell 31030  AVAB @ 149.83 #+15145557666
Buy 26830  AVAB @ 146.35 #+15145552031
Buy 15450  AVAB @ 136.59 #+15145555173
Buy 18600  AVAB @ 139.06 #+15145557553
Sell 31800  AVAB @ 146.85 #+15145556850
Sell 22410  AVAB @ 148.19 #+15145551635
Sell 14840  AVAB @ 148.15 #+15145559646
Buy 18400  AVAB @ 149.78 #+15145550887
Buy 15710  AVAB @ 149.69 #+15145552918
Sell 20570  AVAB @ 150.18 #+15145551045
Buy 25450  AVAB @ 149.57 #+15145554945
Buy 20300  AVAB @ 151.51 #+15145558579
Buy 25600  AVAB @ 157.14 #+15145555449
Buy 27030  AVAB @ 161.16 #+15145550321
Sell 17880  AVAB @ 156.92 #+15145552515
Buy 13470  AVAB @ 161.77 #+15145554283
Sell 18450  AVAB @ 159.81 #+15145550815
Sell 28370  AVAB @ 155.86 #+15145551731
Buy 35830  AVAB @ 156.07 #+15145559487
Buy 15970  AVAB @ 161.33 #+15145554440
Buy 14980  AVAB @ 155.86 #+15145558632
Buy 39130  AVAB @ 157.31 #+15145553503
Buy 37180  AVAB @ 162.21 #+15145551611
Buy 17660  AVAB @ 160.04 #+15145558760
Buy 25670  AVAB @ 158.23 #+15145550329
Buy 11210  AVAB @ 164.99 #+15145551923
Sell 17730  AVAB @ 162.28 #+15145555959
Buy 29140  AVAB @ 167.52 #+15145550972
Buy 24680  AVAB @ 161.37 #+15145559408
Buy 18220  AVAB @ 167.5 #+15145550575
Sell 11670  AVAB @ 160.02 #+15145553036
Buy 17650  AVAB @ 163.11 #+15145559960
Buy 16040  AVAB @ 163.46 #+15145551131
Sell 9680  AVAB @ 165.72 #+15145551063
Sell 68440  AVAB @ 171.44 #+15145550691
Buy 13030  AVAB @ 167.36 #+15145557628
Buy 24620  AVAB @ 165.94 #+15145555005
Buy 19100  AVAB @ 168.64 #+15145552955
Sell 27900  AVAB @ 174.57 #+15145552662
Buy 35240  AVAB @ 170.22 #+15145551962
Buy 18570  AVAB @ 172.09 #+15145556485
Sell 9470  AVAB @ 168.53 #+15145552508
Sell 26640  AVAB @ 170.88 #+15145555376
Sell 14470  AVAB @ 170.84 #+15145555759
Buy 18240  AVAB @ 173.26 #+15145555350
Sell 14260  AVAB @ 173.06 #+15145554445
Sell 28490  AVAB @ 171.63 #+15145558234
Sell 24480  AVAB @ 166.17 #+15145552400
Buy 19150  AVAB @ 168.65 #+15145552823
Sell 25350  AVAB @ 175.38 #+15145556525
Buy 30060  AVAB @ 177.6 #+15145551577
Buy 35800  AVAB @ 180.95 #+15145554848
Sell 37490  AVAB @ 185.46 #+15145550557
Buy 37300  AVAB @ 184.7 #+15145551522
Buy 24760  AVAB @ 190.78 #+15145552032
Sell 19220  AVAB @ 190.29 #+15145558265
Sell 24620  AVAB @ 186.63 #+15145553858
Buy 33430  AVAB @ 193.8 #+15145551457
Sell 23840  AVAB @ 191.01 #+15145559340
Buy 35580  AVAB @ 187.33 #+15145554205
Sell 45460  AVAB @ 192.09 #+15145550176
Sell 39530  AVAB @ 194.06 #+15145554975
Buy 40590  AVAB @ 193.88 #+15145553849
Buy 38110  AVAB @ 190.17 #+15145554303
Buy 40300  AVAB @ 195.93 #+15145559354
Sell 43160  AVAB @ 195.43 #+15145555864
Sell 36660  AVAB @ 188.46 #+15145553878
Sell 22680  AVAB @ 188.93 #+15145550424
Sell 50290  AVAB @ 185.27 #+15145552272
Buy 72950  AVAB @ 175.34 #+15145559386
Buy 70350  AVAB @ 175.35 #+15145555428
Sell 44480  AVAB @ 175.58 #+15145557207
Buy 42380  AVAB @ 177.72 #+15145554371
Sell 18480  AVAB @ 174.57 #+15145558740
Buy 12230  AVAB @ 166.37 #+15145557233
Buy 14890  AVAB @ 171.32 #+15145559545
Sell 29980  AVAB @ 167.83 #+15145552594
Buy 32820  AVAB @ 169.81 #+15145557851
Buy 24210  AVAB @ 162 #+15145554270
Buy 25130  AVAB @ 159.5 #+15145557773
Sell 46470  AVAB @ 157.66 #+15145559483
Buy 41120  AVAB @ 156.77 #+15145555055
Sell 46870  AVAB @ 158.04 #+15145554244
Sell 45370  AVAB @ 160.34 #+15145551962
Buy 45760  AVAB @ 159.5 #+15145552816
Buy 35340  AVAB @ 159.1 #+15145557612
Sell 12680  AVAB @ 162.67 #+15145559426
Buy 6900  AVAB @ 161.69 #+15145558851
Sell 8780  AVAB @ 159.08 #+15145558213
Sell 14340  AVAB @ 160.68 #+15145554228
Buy 17140  AVAB @ 163.2 #+15145554936
Buy 18920  AVAB @ 158.83 #+15145554917
Buy 31300  AVAB @ 160.1 #+15145559544
Buy 25990  AVAB @ 160.84 #+15145559339
Buy 22230  AVAB @ 162.19 #+15145552353
Buy 20360  AVAB @ 163.45 #+15145554834
Buy 19700  AVAB @ 162.62 #+15145557716
Sell 16090  AVAB @ 167.68 #+15145557595
Sell 17510  AVAB @ 171.25 #+15145554429
Sell 16340  AVAB @ 169.24 #+15145552792
Buy 30370  AVAB @ 172.27 #+15145552256
Buy 62150  AVAB @ 164 #+15145556099
Sell 27610  AVAB @ 168.52 #+15145551699
Sell 19040  AVAB @ 168.38 #+15145557244
Buy 10500  AVAB @ 175.78 #+15145556593
Buy 14370  AVAB @ 172.35 #+15145559092
Sell 12090  AVAB @ 178.43 #+15145557523
Sell 11890  AVAB @ 178.52 #+15145558557
Buy 11260  AVAB @ 181.11 #+15145552844
Buy 7260  AVAB @ 178.97 #+15145550629
Sell 6400  AVAB @ 183.61 #+15145555895
Sell 10010  AVAB @ 183.62 #+15145556143
Buy 15960  AVAB @ 183.28 #+15145559520
Buy 11680  AVAB @ 184.79 #+15145554362
Buy 12860  AVAB @ 178.8 #+15145552844
Sell 10100  AVAB @ 175.67 #+15145555862
Buy 6140  AVAB @ 177.91 #+15145557247
Sell 10720  AVAB @ 177.25 #+15145550165
Buy 16990  AVAB @ 175.28 #+15145556250
Sell 12900  AVAB @ 175.12 #+15145555756
Sell 11050  AVAB @ 176.45 #+15145555413
Sell 5320  AVAB @ 180.04 #+15145553099
Buy 5280  AVAB @ 185.4 #+15145559821
Buy 10670  AVAB @ 188.33 #+15145550700
Buy 11240  AVAB @ 184.61 #+15145554919
Buy 10320  AVAB @ 176.62 #+15145554317
Sell 6100  AVAB @ 171.43 #+15145552489
Buy 7470  AVAB @ 171.19 #+15145556143
Buy 7790  AVAB @ 170.64 #+15145552460
Sell 4780  AVAB @ 174.7 #+15145551615
Buy 1850  AVAB @ 172.83 #+15145559033
Sell 6580  AVAB @ 175.38 #+15145554066
Sell 9270  AVAB @ 176.42 #+15145552863
Buy 6540  AVAB @ 180 #+15145556332
Buy 10110  AVAB @ 183.65 #+15145551581
Buy 1430  AVAB @ 181.76 #+15145551530
Buy 9950  AVAB @ 183.4 #+15145556972
Sell 10690  AVAB @ 181.06 #+15145551660
Buy 11050  AVAB @ 179.75 #+15145555202
Sell 5220  AVAB @ 179.41 #+15145558841
Sell 5930  AVAB @ 180.7 #+15145553508
Sell 11650  AVAB @ 176.66 #+15145553090
Buy 9270  AVAB @ 180.69 #+15145557036
Buy 9420  AVAB @ 184.89 #+15145555753
Sell 6800  AVAB @ 189.4 #+15145559814
Sell 7890  AVAB @ 193.41 #+15145559374
Sell 5160  AVAB @ 194.15 #+15145553482
Sell 12230  AVAB @ 200.23 #+15145553029
Sell 5980  AVAB @ 209.61 #+15145559305
Sell 2910  AVAB @ 211.64 #+15145557288
Buy 10770  AVAB @ 209.98 #+15145553859
Buy 7840  AVAB @ 203.59 #+15145556249
Buy 9690  AVAB @ 197.79 #+15145557165
Buy 6240  AVAB @ 200.94 #+15145558814
Sell 9500  AVAB @ 203.14 #+15145552077
Buy 9780  AVAB @ 196.61 #+15145556656
Sell 9890  AVAB @ 191.24 #+15145556297
Buy 6450  AVAB @ 193.33 #+15145557069
Sell 6220  AVAB @ 192.73 #+15145555530
Sell 11770  AVAB @ 193.25 #+15145550676
Sell 4770  AVAB @ 197.4 #+15145558613
Sell 8390  AVAB @ 188.44 #+15145552080
Sell 9680  AVAB @ 188.31 #+15145559541
Sell 9160  AVAB @ 193.1 #+15145550667
Sell 12040  AVAB @ 191.64 #+15145555009
Buy 12950  AVAB @ 188.47 #+15145552481
Sell 3570  AVAB @ 192.21 #+15145551873
Sell 3950  AVAB @ 194.62 #+15145553051
Sell 8850  AVAB @ 196.08 #+15145551916
Buy 7080  AVAB @ 195.87 #+15145556673
Sell 9250  AVAB @ 193.34 #+15145552233
Buy 10710  AVAB @ 194.24 #+15145557055
Buy 5120  AVAB @ 194.82 #+15145558375
Sell 7960  AVAB @ 191.7 #+15145553501
Sell 3620  AVAB @ 190.96 #+15145554870
Sell 12320  AVAB @ 187.07 #+15145559593
Buy 13330  AVAB @ 175.04 #+15145553206
Buy 3620  AVAB @ 174.38 #+15145559423
Sell 6200  AVAB @ 175.75 #+15145552320
Buy 8670  AVAB @ 175.25 #+15145559017
Sell 14500  AVAB @ 171.02 #+15145554917
Buy 10470  AVAB @ 174.48 #+15145558277
Sell 3200  AVAB @ 165.5 #+15145554469
Buy 12820  AVAB @ 168.47 #+15145553052
Buy 5480  AVAB @ 172.44 #+15145557749
Buy 12940  AVAB @ 169.65 #+15145558955
Buy 6660  AVAB @ 171.2 #+15145550384
Sell 8420  AVAB @ 174.35 #+15145555686
Buy 12760  AVAB @ 174.55 #+15145558314
Buy 5500  AVAB @ 175.55 #+15145554868
Buy 11510  AVAB @ 175.51 #+15145559233
Buy 10720  AVAB @ 174.81 #+15145554149
Sell 6490  AVAB @ 171.31 #+15145553600
Buy 9120  AVAB @ 176.4 #+15145554792
Buy 2520  AVAB @ 172.31 #+15145554766
Sell 10060  AVAB @ 172.89 #+15145553295
Sell 10180  AVAB @ 165.35 #+15145558006
Buy 16700  AVAB @ 163.66 #+15145559784
Buy 5440  AVAB @ 165.86 #+15145553051
Sell 11720  AVAB @ 162.28 #+15145554026
Sell 6320  AVAB @ 161.91 #+15145555519
Sell 7820  AVAB @ 162.3 #+15145553605
Buy 13860  AVAB @ 162.95 #+15145550673
Sell 14940  AVAB @ 161.25 #+15145557920
Buy 9980  AVAB @ 159.25 #+15145550667
Sell 11990  AVAB @ 158.91 #+15145557398
Sell 16360  AVAB @ 161.2 #+15145558040
Sell 13260  AVAB @ 155.62 #+15145557666
Buy 22130  AVAB @ 162.82 #+15145555490
Sell 7800  AVAB @ 163.02 #+15145558590
Buy 11350  AVAB @ 162.92 #+15145556319
Sell 11210  AVAB @ 159.4 #+15145552729
Sell 7450  AVAB @ 166.7 #+15145554869
Buy 11450  AVAB @ 171.46 #+15145557660
Sell 7610  AVAB @ 176.59 #+15145550640
Sell 9280  AVAB @ 171.63 #+15145555537
Buy 13280  AVAB @ 169.47 #+15145555852
Buy 9560  AVAB @ 172.36 #+15145556402
Buy 16850  AVAB @ 171.42 #+15145555682
Buy 8520  AVAB @ 172.75 #+15145559704
Sell 8440  AVAB @ 170.4 #+15145557234
Sell 12390  AVAB @ 172.68 #+15145550951
Sell 17240  AVAB @ 172.15 #+15145558877
Sell 8500  AVAB @ 161.43 #+15145553454
Sell 8370  AVAB @ 159.63 #+15145559887
Sell 7550  AVAB @ 159.2 #+15145552563
Buy 7460  AVAB @ 156.39 #+15145555043
Sell 8100  AVAB @ 154.19 #+15145556238
Sell 8530  AVAB @ 158.63 #+15145556070
Buy 11050  AVAB @ 155.55 #+15145553609
Sell 5250  AVAB @ 156.07 #+15145557907
Sell 11980  AVAB @ 156.58 #+15145552398
Buy 9320  AVAB @ 153.71 #+15145550009
Buy 12920  AVAB @ 149.08 #+15145552260
Sell 14750  AVAB @ 149.3 #+15145558992
Sell 4340  AVAB @ 150.53 #+15145552271
Buy 2830  AVAB @ 156.45 #+15145558382
Sell 5330  AVAB @ 156.65 #+15145556781
Sell 4640  AVAB @ 152.43 #+15145553077
Buy 7510  AVAB @ 146.85 #+15145557281
Sell 13550  AVAB @ 145.82 #+15145551487
Sell 9910  AVAB @ 142.62 #+15145557287
Buy 9070  AVAB @ 146.04 #+15145556268
Buy 11090  AVAB @ 143.65 #+15145552576
Sell 13190  AVAB @ 144.62 #+15145550535
Sell 7130  AVAB @ 146.51 #+15145558437
Buy 4940  AVAB @ 148.6 #+15145552536
Sell 12250  AVAB @ 144.83 #+15145551803
Sell 6470  AVAB @ 150.66 #+15145551382
Buy 14580  AVAB @ 146.22 #+15145550347
Buy 12920  AVAB @ 146.34 #+15145559113
Sell 5370  AVAB @ 148.83 #+15145550010
Buy 10530  AVAB @ 147.1 #+15145559502
Sell 10520  AVAB @ 146.06 #+15145555538
Buy 5540  AVAB @ 146.97 #+15145559678
Buy 11200  AVAB @ 145.49 #+15145558697
Sell 14570  AVAB @ 146.08 #+15145557334
Buy 13280  AVAB @ 148.88 #+15145551700
Sell 10960  AVAB @ 145.82 #+15145555852
Sell 7080  AVAB @ 145.87 #+15145550374
Buy 6390  AVAB @ 144.28 #+15145558412
Buy 11900  AVAB @ 145.95 #+15145556128
Sell 11630  AVAB @ 148.03 #+15145557866
Sell 4320  AVAB @ 151.81 #+15145552813
Buy 5060  AVAB @ 156.69 #+15145558171
Sell 6400  AVAB @ 161.22 #+15145557226
Sell 14380  AVAB @ 164.85 #+15145552946
Sell 12320  AVAB @ 164.12 #+15145558705
Sell 12530  AVAB @ 163.74 #+15145558535
Buy 4310  AVAB @ 161.67 #+15145559664
Buy 6530  AVAB @ 158.87 #+15145557887
Buy 4590  AVAB @ 167.32 #+15145553713
Buy 4410  AVAB @ 164.1 #+15145558816
Buy 11750  AVAB @ 166.82 #+15145551872
Sell 8850  AVAB @ 160.91 #+15145553909
Buy 14680  AVAB @ 159.88 #+15145550031
Buy 8880  AVAB @ 157.95 #+15145550937
Buy 9270  AVAB @ 151.92 #+15145552018
Sell 4640  AVAB @ 153.39 #+15145557567
Sell 6330  AVAB @ 153.63 #+15145556267
Buy 9230  AVAB @ 152.61 #+15145558995
Sell 16140  AVAB @ 155.37 #+15145552091
Sell 16540  AVAB @ 152.43 #+15145556611
Buy 6100  AVAB @ 151.63 #+15145553657
Buy 18350  AVAB @ 152.78 #+15145557527
Sell 16720  AVAB @ 154 #+15145557472
Buy 14560  AVAB @ 156.23 #+15145550225
Sell 16140  AVAB @ 158.63 #+15145551356
Sell 5910  AVAB @ 155.13 #+15145557567
Sell 11410  AVAB @ 156.05 #+15145556995
Sell 6360  AVAB @ 158.81 #+15145556189
Sell 7200  AVAB @ 163.45 #+15145558923
Buy 8950  AVAB @ 168.6 #+15145550823
Buy 7010  AVAB @ 163.54 #+15145558490
Sell 5450  AVAB @ 166.49 #+15145555912
Sell 5780  AVAB @ 167.26 #+15145551712
Sell 4060  AVAB @ 169.69 #+15145556494
Sell 5170  AVAB @ 170.77 #+15145550722
Buy 3910  AVAB @ 170.16 #+15145559650
Sell 6520  AVAB @ 176.97 #+15145550859
Sell 10100  AVAB @ 172.94 #+15145555567
Sell 7030  AVAB @ 170.2 #+15145553462
Sell 13100  AVAB @ 174.62 #+15145550896
Buy 10440  AVAB @ 161.87 #+15145555937
Buy 11800  AVAB @ 165.29 #+15145556248
Sell 9390  AVAB @ 166.63 #+15145553070
Sell 11260  AVAB @ 169.05 #+15145557593
Buy 6840  AVAB @ 173.5 #+15145550504
Sell 6350  AVAB @ 168.91 #+15145554388
Sell 5070  AVAB @ 165.87 #+15145554677
Buy 14130  AVAB @ 160.67 #+15145550724
Sell 7010  AVAB @ 158.57 #+15145558947
Buy 8570  AVAB @ 157.62 #+15145550658
Sell 9550  AVAB @ 158.72 #+15145558517
Sell 15590  AVAB @ 157.67 #+15145555128
Buy 7200  AVAB @ 159.71 #+15145558215
Sell 10610  AVAB @ 161.33 #+15145559482
Sell 13610  AVAB @ 159.29 #+15145554176
Sell 10840  AVAB @ 163.89 #+15145554883
Sell 18000  AVAB @ 165.46 #+15145556527
Sell 10610  AVAB @ 168.13 #+15145554365
Buy 8770  AVAB @ 163.43 #+15145553822
Sell 11420  AVAB @ 166.35 #+15145557921
Sell 6800  AVAB @ 165.29 #+15145557323
Sell 10470  AVAB @ 162.05 #+15145551548
Sell 5880  AVAB @ 161.55 #+15145553807
Buy 11140  AVAB @ 158.2 #+15145554625
Sell 5240  AVAB @ 159.64 #+15145550580
Sell 15690  AVAB @ 159.13 #+15145559374
Buy 7420  AVAB @ 158.25 #+15145554030
Buy 8410  AVAB @ 151.22 #+15145551465
Buy 11790  AVAB @ 151.69 #+15145550628
Sell 4850  AVAB @ 154.16 #+15145557348
Buy 15600  AVAB @ 150.97 #+15145556468
Sell 13380  AVAB @ 149.73 #+15145553185
Sell 9900  AVAB @ 144.41 #+15145555131
Sell 7660  AVAB @ 149.85 #+15145558832
Sell 14900  AVAB @ 146.3 #+15145551751
Sell 8880  AVAB @ 146.74 #+15145550821
Sell 11060  AVAB @ 144.62 #+15145550962
Sell 13840  AVAB @ 148.94 #+15145553000
Sell 7140  AVAB @ 152.02 #+15145556976
Sell 9360  AVAB @ 151.04 #+15145554404
Buy 13290  AVAB @ 151.63 #+15145551069
Sell 12010  AVAB @ 145.58 #+15145553377
Sell 15380  AVAB @ 145.36 #+15145551263
Buy 13960  AVAB @ 143.68 #+15145558302
Sell 4870  AVAB @ 149.63 #+15145555900
Buy 9650  AVAB @ 148.5 #+15145553339
Sell 8450  AVAB @ 147.67 #+15145552826
Buy 10210  AVAB @ 144.63 #+15145551890
Sell 16000  AVAB @ 146.95 #+15145556795
Sell 8070  AVAB @ 147.78 #+15145556893
Buy 17440  AVAB @ 148.26 #+15145552528
Sell 5780  AVAB @ 147.64 #+15145554384
Sell 9890  AVAB @ 148.63 #+15145554157
Sell 15220  AVAB @ 147.88 #+15145557703
Buy 10800  AVAB @ 147.78 #+15145555003
Sell 13950  AVAB @ 150.18 #+15145554962
Sell 11810  AVAB @ 152.95 #+15145553027
Sell 11710  AVAB @ 150.7 #+15145558790
Sell 15280  AVAB @ 148.94 #+15145550531
Sell 9060  AVAB @ 142.01 #+15145550070
Sell 13460  AVAB @ 143.58 #+15145558972
Buy 13230  AVAB @ 144.29 #+15145554146
Buy 6170  AVAB @ 145.66 #+15145550831
Buy 10520  AVAB @ 149.47 #+15145551951
Sell 5700  AVAB @ 153.81 #+15145557607
Sell 13010  AVAB @ 156.61 #+15145554642
Sell 15550  AVAB @ 153.8 #+15145555243
Buy 31020  AVAB @ 152.29 #+15145554887
Sell 18540  AVAB @ 153.83 #+15145555711
Sell 13660  AVAB @ 148.72 #+15145551868
Sell 23720  AVAB @ 155.28 #+15145551543
Sell 15760  AVAB @ 156.19 #+15145550029
Buy 15410  AVAB @ 157.65 #+15145551779
Buy 21900  AVAB @ 160.77 #+15145556080
Buy 16600  AVAB @ 160.18 #+15145559584
Sell 14770  AVAB @ 164.5 #+15145559214
Sell 15000  AVAB @ 159.67 #+15145554176
Buy 15490  AVAB @ 169.1 #+15145559042
Buy 9680  AVAB @ 164.29 #+15145550889
Buy 20140  AVAB @ 166.18 #+15145558811
Buy 21660  AVAB @ 162.38 #+15145558523
Sell 26580  AVAB @ 162.5 #+15145554491
Sell 18330  AVAB @ 161.99 #+15145553857
Buy 19030  AVAB @ 163.32 #+15145559094
Sell 9500  AVAB @ 161.72 #+15145550799
Buy 7780  AVAB @ 161.78 #+15145559722
Buy 15840  AVAB @ 158.06 #+15145558509
Sell 10650  AVAB @ 160.74 #+15145559893
Sell 6150  AVAB @ 164.15 #+15145554315
Buy 7980  AVAB @ 157.74 #+15145557991
Buy 11000  AVAB @ 156.11 #+15145555032
Buy 8060  AVAB @ 158.88 #+15145554208
Buy 11240  AVAB @ 153.98 #+15145554920
Sell 11120  AVAB @ 156.52 #+15145556331
Buy 11840  AVAB @ 154.39 #+15145550786
Buy 3140  AVAB @ 155.1 #+15145551144
Sell 13170  AVAB @ 157.31 #+15145556345
Sell 7370  AVAB @ 155.91 #+15145553801
Sell 8530  AVAB @ 156.7 #+15145555622
Sell 12450  AVAB @ 148.99 #+15145550737
Sell 10770  AVAB @ 145.58 #+15145550506
Buy 9420  AVAB @ 147.97 #+15145555380
Buy 13740  AVAB @ 148.2 #+15145559106
Sell 10350  AVAB @ 152 #+15145552084
Buy 17570  AVAB @ 145.17 #+15145556915
Buy 8880  AVAB @ 145.55 #+15145552385
Buy 13780  AVAB @ 140.72 #+15145556376
Sell 16630  AVAB @ 142.86 #+15145556184
Buy 13980  AVAB @ 148.2 #+15145550659
Buy 6610  AVAB @ 148.64 #+15145557859
Buy 12330  AVAB @ 148.04 #+15145550412
Buy 14780  AVAB @ 148.36 #+15145556767
Buy 16180  AVAB @ 148.97 #+15145554292
Buy 10470  AVAB @ 149.14 #+15145558241
Sell 7530  AVAB @ 153.23 #+15145550286
Sell 15020  AVAB @ 157.9 #+15145558879
Sell 10590  AVAB @ 163.74 #+15145552095
Sell 10310  AVAB @ 167.13 #+15145551078
Sell 10580  AVAB @ 168.8 #+15145557480
Buy 14930  AVAB @ 169.76 #+15145559131
Buy 11630  AVAB @ 166.53 #+15145552644
Sell 9840  AVAB @ 165.82 #+15145553047
Buy 23180  AVAB @ 165.16 #+15145557449
Sell 21110  AVAB @ 160.95 #+15145559287
Buy 9190  AVAB @ 159.08 #+15145551703
Buy 8610  AVAB @ 155.6 #+15145555255
Buy 10190  AVAB @ 155.53 #+15145554564
Sell 20160  AVAB @ 154.98 #+15145556169
Buy 12960  AVAB @ 156.94 #+15145559620
Buy 10130  AVAB @ 154.84 #+15145559006
Sell 18770  AVAB @ 159.6 #+15145552493
Sell 22050  AVAB @ 164.92 #+15145553066
Sell 16300  AVAB @ 163.15 #+15145558442
Buy 18910  AVAB @ 162.23 #+15145551537
Sell 18340  AVAB @ 165.1 #+15145553764
Sell 15870  AVAB @ 166.57 #+15145555944
Buy 10820  AVAB @ 166.98 #+15145552532
Sell 28160  AVAB @ 169.42 #+15145551594
Sell 17870  AVAB @ 170.35 #+15145557642
Sell 17640  AVAB @ 176.11 #+15145550262
Buy 11540  AVAB @ 178.41 #+15145553122
Buy 8430  AVAB @ 183.63 #+15145554443
Buy 15750  AVAB @ 185.86 #+15145552672
Buy 15890  AVAB @ 185.01 #+15145557397
Buy 11950  AVAB @ 185.75 #+15145554558
Sell 23640  AVAB @ 189.79 #+15145551626
Buy 22960  AVAB @ 187.08 #+15145553427
Sell 19750  AVAB @ 184.52 #+15145558214
Buy 10900  AVAB @ 181.3 #+15145558583
Sell 9470  AVAB @ 183.14 #+15145552408
Sell 14840  AVAB @ 187.29 #+15145559205
Sell 11400  AVAB @ 187.85 #+15145553215
Sell 13100  AVAB @ 192.1 #+15145556340
Buy 4760  AVAB @ 187.15 #+15145555345
